"date","geography","geography code","Ethnic Group: All categories: Ethnic group; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: Gypsy / Traveller / Irish Traveller; measures: Value","Ethnic Group: Mixed / Multiple ethnic group; measures: Value","Ethnic Group: Asian / Asian British: Indian; measures: Value","Ethnic Group: Asian / Asian British: Pakistani; measures: Value","Ethnic Group: Asian / Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian / Asian British: Chinese; measures: Value","Ethnic Group: Asian / Asian British: Other Asian; measures: Value","Ethnic Group: Black / African / Caribbean / Black British; measures: Value","Ethnic Group: Other Ethnic Group; measures: Value"
"2011","Darlington","E06000005",105564,101245,350,1146,726,145,523,349,462,357,261
"2011","County Durham","E06000047",513242,503302,467,3094,1368,463,241,1598,1186,701,822
"2011","Hartlepool","E06000001",92028,89859,40,550,266,291,214,229,304,170,105
"2011","Middlesbrough","E06000002",138412,121970,85,2362,1477,6811,244,904,1332,1731,1496
"2011","Northumberland","E06000057",316028,310910,156,1692,939,351,295,452,621,338,274
"2011","Redcar and Cleveland","E06000003",135177,133118,85,853,91,295,94,155,234,122,130
"2011","Stockton-on-Tees","E06000004",191610,181156,143,1997,1488,3072,132,866,1074,1133,549
"2011","Gateshead","E08000037",200214,192655,87,1558,916,617,242,1054,909,1081,1095
"2011","Newcastle upon Tyne","E08000021",280177,239370,163,4279,5072,6364,4692,6037,4942,5160,4098
"2011","North Tyneside","E08000022",200801,193996,29,1815,1095,319,686,869,846,734,412
"2011","South Tyneside","E08000023",148127,142090,9,1325,643,434,1534,235,465,420,972
"2011","Sunderland","E08000024",275506,264212,70,1778,1736,669,2075,1536,1320,1273,837
"2011","Blackburn with Darwen","E06000008",147489,101848,161,1823,19791,17801,1525,721,1656,933,1230
"2011","Blackpool","E06000009",142065,137102,237,1753,627,223,231,514,687,346,345
"2011","Cheshire East","E06000049",370127,357627,313,3873,2147,856,504,1125,1428,1402,852
"2011","Cheshire West and Chester","E06000050",329608,320812,213,3050,1242,336,576,935,1008,908,528
"2011","Halton","E06000006",125746,123000,41,1356,282,44,60,308,249,260,146
"2011","Warrington","E06000007",202228,193926,66,2144,1803,1179,152,849,928,694,487
"2011","Allerdale","E07000026",96422,95371,14,426,81,34,91,123,148,73,61
"2011","Barrow-in-Furness","E07000027",69087,67901,39,360,137,47,43,183,223,70,84
"2011","Carlisle","E07000028",107524,105284,196,535,273,109,180,337,349,147,114
"2011","Copeland","E07000029",70603,69476,15,339,137,79,70,164,179,84,60
"2011","Eden","E07000030",52564,51984,15,211,77,7,49,79,80,22,40
"2011","South Lakeland","E07000031",103658,101926,36,633,187,40,53,267,240,183,93
"2011","Bolton","E08000001",276786,226431,214,4892,21665,12026,614,1423,3021,4652,1848
"2011","Bury","E08000002",185060,164960,72,3365,1387,9002,311,1100,1607,1893,1363
"2011","Manchester","E08000003",503127,334600,509,23161,11417,42904,6437,13539,11689,43484,15387
"2011","Oldham","E08000004",224897,174264,62,4057,1555,22686,16310,726,1888,2797,552
"2011","Rochdale","E08000005",211699,172688,186,3569,1105,22265,4342,948,2970,2770,856
"2011","Salford","E08000006",233933,210669,193,4616,2553,1843,605,2547,1881,6541,2485
"2011","Stockport","E08000007",283275,260761,58,5104,2786,6673,705,1722,1876,1958,1632
"2011","Tameside","E08000008",219324,199391,38,3159,3668,4910,4296,951,728,1784,399
"2011","Trafford","E08000009",226578,193794,40,6031,6306,7027,457,2232,1951,6540,2200
"2011","Wigan","E08000010",317849,309042,151,2756,1019,676,109,891,824,1678,703
"2011","Burnley","E07000117",87059,76044,10,976,321,5924,2425,222,686,211,240
"2011","Chorley","E07000118",107155,103776,57,1016,612,525,105,236,232,401,195
"2011","Fylde","E07000119",75757,73829,15,742,297,118,25,209,196,163,163
"2011","Hyndburn","E07000120",80734,70681,97,696,279,7548,402,268,510,106,147
"2011","Lancaster","E07000121",138375,132011,331,1356,1212,413,309,1231,567,628,317
"2011","Pendle","E07000122",89452,71411,26,946,236,15320,383,281,587,126,136
"2011","Preston","E07000123",140202,112304,111,3326,14421,4425,375,1235,1276,1676,1053
"2011","Ribble Valley","E07000124",57132,55898,6,360,204,295,32,109,89,92,47
"2011","Rossendale","E07000125",67982,63731,47,602,186,1139,1638,233,200,123,83
"2011","South Ribble","E07000126",109057,105830,17,1174,798,241,26,282,265,268,156
"2011","West Lancashire","E07000127",110685,108595,8,866,411,85,13,190,214,174,129
"2011","Wyre","E07000128",107749,105756,96,664,235,70,78,315,295,130,110
"2011","Knowsley","E08000011",145893,141852,6,1913,467,81,10,446,399,505,214
"2011","Liverpool","E08000012",466415,414486,185,11756,4915,1999,1075,7978,3436,12308,8277
"2011","Sefton","E08000014",273790,266621,120,2820,666,127,308,965,653,796,714
"2011","St. Helens","E08000013",175308,171808,69,1179,504,133,122,512,493,248,240
"2011","Wirral","E08000015",319783,310079,77,3286,1344,226,851,1653,1042,695,530
"2011","East Riding of Yorkshire","E06000011",334179,327562,227,2301,1081,396,69,660,755,598,530
"2011","Kingston upon Hull, City of","E06000010",256406,241037,284,3454,1086,882,755,2124,1624,2996,2164
"2011","North East Lincolnshire","E06000012",159616,155395,26,1186,513,195,268,605,548,411,469
"2011","North Lincolnshire","E06000013",167446,160658,90,1244,1122,862,1443,530,592,494,411
"2011","York","E06000014",198051,186462,269,2413,1531,417,370,2449,1973,1194,973
"2011","Craven","E07000163",55409,53910,54,375,156,474,39,118,183,61,39
"2011","Hambleton","E07000164",89140,87503,132,593,220,84,30,126,140,188,124
"2011","Harrogate","E07000165",157869,151968,107,1776,587,118,68,869,767,1147,462
"2011","Richmondshire","E07000166",51965,49537,19,502,75,27,20,78,1047,496,164
"2011","Ryedale","E07000167",51751,50983,81,302,35,5,7,85,141,80,32
"2011","Scarborough","E07000168",108793,106067,37,869,383,169,109,287,416,240,216
"2011","Selby","E07000169",83449,81919,158,626,175,17,2,170,129,212,41
"2011","Barnsley","E08000016",231221,226122,163,1630,442,211,60,440,508,1221,424
"2011","Doncaster","E08000017",302402,287479,587,3321,1865,2728,117,1121,1783,2337,1064
"2011","Rotherham","E08000018",257280,240632,126,2551,961,7609,109,592,1280,2112,1308
"2011","Sheffield","E08000019",552698,462186,358,13289,5868,21990,3326,7398,5803,20082,12398
"2011","Bradford","E08000032",522452,351884,433,12979,13555,106614,9863,2086,8031,9267,7740
"2011","Calderdale","E08000033",203826,182707,80,2797,1130,13904,574,459,808,899,468
"2011","Kirklees","E08000034",422458,334112,158,9790,20797,41802,731,1452,3000,7905,2711
"2011","Leeds","E08000035",751485,638800,687,19632,16130,22492,4432,5933,9256,25893,8230
"2011","Wakefield","E08000036",325837,310655,302,2928,1540,4896,32,853,1177,2512,942
"2011","Derby","E06000015",248752,199456,295,7232,10907,14620,658,1292,3618,7320,3354
"2011","Leicester","E06000016",329839,166219,417,11580,93335,8067,3642,4245,13181,20585,8568
"2011","Nottingham","E06000018",305680,218372,326,20265,9901,16771,1049,5988,6330,22185,4493
"2011","Rutland","E06000017",37369,36243,58,389,113,38,7,125,82,251,63
"2011","Amber Valley","E07000032",122309,119979,44,980,416,80,11,201,221,253,124
"2011","Bolsover","E07000033",75866,74386,66,518,207,56,6,166,177,267,17
"2011","Chesterfield","E07000034",103788,100167,5,1094,487,334,141,367,263,782,148
"2011","Derbyshire Dales","E07000035",71116,70102,15,466,97,84,4,95,118,87,48
"2011","Erewash","E07000036",112081,108736,29,1269,778,89,21,266,229,536,128
"2011","High Peak","E07000037",90892,88944,10,944,148,78,10,228,247,184,99
"2011","North East Derbyshire","E07000038",99023,97014,70,786,350,79,32,187,147,236,122
"2011","South Derbyshire","E07000039",94611,90455,72,1062,1649,179,4,217,326,425,222
"2011","Blaby","E07000129",93915,85350,101,1505,4399,281,18,435,585,900,341
"2011","Charnwood","E07000130",166100,145040,74,2577,10225,428,2022,1943,1520,1327,944
"2011","Harborough","E07000131",85382,81255,61,971,1849,132,44,226,312,327,205
"2011","Hinckley and Bosworth","E07000132",105078,101283,86,1027,1390,158,81,269,348,262,174
"2011","Melton","E07000133",50376,49316,3,414,277,4,0,103,134,95,30
"2011","North West Leicestershire","E07000134",93468,91110,77,881,520,16,20,198,320,205,121
"2011","Oadby and Wigston","E07000135",56170,41002,9,1176,9938,1080,128,328,1046,671,792
"2011","Boston","E07000136",64637,62529,63,664,374,148,72,130,204,278,175
"2011","East Lindsey","E07000137",136401,134253,61,937,231,63,100,198,197,264,97
"2011","Lincoln","E07000138",93541,89299,80,1230,522,139,139,452,542,778,360
"2011","North Kesteven","E07000139",107766,105761,74,791,217,29,68,215,221,251,139
