"","combine","coefficient","se","t","number"
"1","0",0,0,0,1
"2","win7_shop_close",-0.522906145372956,0.331423091953169,-1.57776014426552,1
"3","win7_restaurant_close",-0.288212617808709,0.121676859468496,-2.36867239233218,1
"4","win7_shop_close+win7_restaurant_close",-0.811118763181665,0.328528897522114,-2.46894190830524,2
"5","win7_sports_indoor_close",-0.563873211082498,0.217780730280239,-2.58917862180418,1
"6","win7_shop_close+win7_sports_indoor_close",-1.08677935645545,0.349511122819314,-3.10942709831093,2
"7","win7_restaurant_close+win7_sports_indoor_close",-0.852085828891207,0.309126047053492,-2.75643491389051,2
"8","win7_shop_close+win7_restaurant_close+win7_sports_indoor_close",-1.37499197426416,0.391884171608298,-3.50866933109642,3
