"","X","LAD17CD","CTRY11NM","areaName","RGN11NM","Geography","area","pop","density","Name","All.ages","Under18","y18to24","y25to34","y35to44","y45to54","y55to64","y65to74","y75","gdphead2019","geography","white","asian","black"
"20",20,"E06000022","England","Bath and North East Somerset","South West","Unitary Authority",346,196357,568,"Bath and North East Somerset",196357,0.186777145709091,0.145642885153063,0.13940424838432,0.103225247890322,0.12119761454901,0.115366398957002,0.0966504886507738,0.0917359707064174,26427,"Bath and North East Somerset",0.945453822379784,0.0260033178801927,0.00753340605399509
"21",21,"E06000023","England","Bristol, City of","South West","Unitary Authority",110,465866,4248,"Bristol, City of",465866,0.20264840104236,0.139454263672386,0.203116346760656,0.130432356085226,0.104925021358073,0.0900430595922433,0.0684917980706898,0.0608887534183649,36537,"Bristol, City of",0.838870804279903,0.0552384911053303,0.0600933134688044
"22",22,"E06000024","England","North Somerset","South West","Unitary Authority",374,215574,577,"North Somerset",215574,0.20327126647926,0.0618349151567443,0.101000120608237,0.11979181162849,0.140007607596463,0.132863888966202,0.123994544796682,0.117235844767922,24937,"North Somerset",0.972028869602994,0.0120257101389177,0.0031199707749573
"23",23,"E06000025","England","South Gloucestershire","South West","Unitary Authority",497,287816,579,"South Gloucestershire",287816,0.208212886010507,0.0830183172582483,0.132466575867916,0.129089418239431,0.136128637740779,0.122043249854073,0.0958181616032465,0.0932227534257998,46947,"South Gloucestershire",0.94876068912763,0.0245084047844668,0.00844093816955706
"24",24,"E06000026","England","Plymouth","South West","Unitary Authority",80,262839,3292,"Plymouth",262839,0.202751494260745,0.112243616814856,0.133678791960097,0.11959031954923,0.123923770825486,0.12153828008781,0.0986193068760724,0.0876544196257024,25236,"Plymouth",0.960886794807788,0.0152349600599101,0.00654487019470794
"25",25,"E06000027","England","Torbay","South West","Unitary Authority",63,136218,2166,"Torbay",136218,0.187082470745423,0.0599406833164486,0.100508009220514,0.0988929510050067,0.132045691465151,0.148856979253843,0.141486440852163,0.13118677414145,17671,"Torbay",0.974824181614093,0.0103314777907589,0.00191663039577272
"26",26,"E06000030","England","Swindon","South West","Unitary Authority",230,222881,969,"Swindon",222881,0.227708956797574,0.069000946693527,0.124178373212611,0.139949120831296,0.146921451357451,0.126803092233075,0.0912415145301753,0.0741965443442913,46868,"Swindon",0.897502342748953,0.0638996729713707,0.0136787852129511
"27",27,"E06000031","England","Peterborough","East of England","Unitary Authority",343,202626,590,"Peterborough",202626,0.25923622832213,0.0674296487124061,0.140909853621944,0.145312052747426,0.129514474943985,0.107108663251508,0.0821858991442362,0.0683031792563639,36513,"Peterborough",0.822214114174622,0.11703906203201,0.022675909840931
"28",28,"E06000032","England","Luton","East of England","Unitary Authority",43,213528,4925,"Luton",213528,0.271973698999663,0.0802189876737477,0.150514218275823,0.150242591135589,0.119412910718969,0.101321606534038,0.0657525008429808,0.06056348581919,33732,"Luton",0.545671527207051,0.299959153744322,0.0979768800350392
"29",29,"E06000033","England","Southend-on-Sea","East of England","Unitary Authority",42,182773,4386,"Southend-on-Sea",182773,0.21740629086353,0.0684236730808161,0.116992115903334,0.135588954604892,0.142302199996717,0.124175890312026,0.101705394122764,0.0934054811159197,20238,"Southend-on-Sea",0.914792292897534,0.0370843842495019,0.0210010480369462
"30",30,"E06000034","England","Thurrock","East of England","Unitary Authority",164,175531,1071,"Thurrock",175531,0.258535529336698,0.0713777053625855,0.139189089106767,0.149631688989409,0.137531262284155,0.106448433610018,0.0791825945274624,0.0581036967829044,28724,"Thurrock",0.856795916426239,0.0375828286991535,0.0781395643765258
"31",31,"E06000035","England","Medway","South East","Unitary Authority",194,279142,1441,"Medway",279142,0.234436236754053,0.0787054617363206,0.141583853379284,0.130005516905374,0.133179528698655,0.119903131739401,0.0910181914581109,0.0711680793288004,24401,"Medway",0.894454864071232,0.0515866249881595,0.0252458084683149
"32",32,"E06000036","England","Bracknell Forest","South East","Unitary Authority",109,124165,1135,"Bracknell Forest",124165,0.23222325131881,0.0708653807433657,0.128498369105626,0.148294607981315,0.146434180324568,0.12375468127089,0.0839930737325333,0.0659364555228929,46847,"Bracknell Forest",0.904871692946425,0.0500331257453293,0.0193366017402058
"33",33,"E06000037","England","West Berkshire","South East","Unitary Authority",704,158465,225,"West Berkshire",158465,0.224327138484839,0.0646578108730635,0.102609409017764,0.124342914839239,0.151440381156722,0.136326633641498,0.107563184299372,0.088732527687502,56409,"West Berkshire",0.947133699990899,0.0247558866742079,0.00894540442849527
"34",34,"E06000038","England","Reading","South East","Unitary Authority",40,160337,3969,"Reading",160337,0.232348116779034,0.1079850564748,0.157848781005008,0.147576666645877,0.127088569700069,0.100326187966595,0.0670150994467902,0.0598115219818258,58501,"Reading",0.746939588177112,0.135910544772573,0.0672455651325001
"35",35,"E06000039","England","Slough","South East","Unitary Authority",33,149577,4596,"Slough",149577,0.291842997252251,0.0713077545344538,0.131196641194836,0.178062135221324,0.130240611858775,0.0933432279026856,0.0597016921050696,0.0443049399306043,59307,"Slough",0.455283335116437,0.397254020897971,0.0864091865482686
"36",36,"E06000040","England","Windsor and Maidenhead","South East","Unitary Authority",197,151273,770,"Windsor and Maidenhead",151273,0.229234562678072,0.0627078196373444,0.104255220693713,0.138140976909296,0.151051410364044,0.126116359165218,0.0945575218313909,0.0939361287209218,54856,"Windsor and Maidenhead",0.85975373547316,0.0957941339236303,0.0119327614831212
"37",37,"E06000041","England","Wokingham","South East","Unitary Authority",179,173945,972,"Wokingham",173945,0.237276150507344,0.0652045186696944,0.105349392049211,0.143395901003191,0.148564201328006,0.124458880680675,0.0913737100807727,0.0843772456811061,49108,"Wokingham",0.88245886772898,0.0740899080191735,0.0135574556289675
"38",38,"E06000042","England","Milton Keynes","South East","Unitary Authority",309,270203,876,"Milton Keynes",270203,0.256503443707139,0.0637483669685385,0.126471578775957,0.159661439732349,0.137729780942477,0.111486549002047,0.0845993567799025,0.0597994840915904,57824,"Milton Keynes",0.799860140422231,0.0915597959979262,0.0688486904240398
"39",39,"E06000043","England","Brighton and Hove","South East","Unitary Authority",83,291738,3522,"Brighton and Hove",291738,0.172524662539676,0.150052444316476,0.17388204484846,0.130216152849475,0.134435692299255,0.105149140667311,0.0711083232215207,0.0626315392578272,33313,"Brighton and Hove",0.890057029143758,0.0412555922580834,0.015319952152585
"40",40,"E06000044","England","Portsmouth","South East","Unitary Authority",40,214692,5315,"Portsmouth",214692,0.203808246231811,0.147979430998826,0.159605388184003,0.121499636688838,0.117791999701899,0.106934585359492,0.0760484787509549,0.0663322340841764,31681,"Portsmouth",0.883158746878901,0.0608321629213483,0.0184193586142322
"41",41,"E06000045","England","Southampton","South East","Unitary Authority",50,252872,5070,"Southampton",252872,0.204870448290044,0.157407700338511,0.175630358442216,0.123062260748521,0.106022019045209,0.0986388370400835,0.0723093106393749,0.062059065456041,34407,"Southampton",0.857756182403053,0.0839742994402276,0.0213903969064766
"42",42,"E06000046","England","Isle of Wight","South East","Unitary Authority",380,142296,375,"Isle of Wight",142296,0.17339208410637,0.0630024737167594,0.0950413223140496,0.0956316410861865,0.133552594591556,0.152246022375892,0.153707764097374,0.133426097711812,22468,"Isle of Wight",0.972415289480346,0.0109499873431454,0.0021914439662966
"43",43,"E06000047","England","County Durham","North East","Unitary Authority",2226,533149,240,"County Durham",533149,0.191276735021542,0.0939062063325637,0.121836484735037,0.111873041119837,0.132617710996363,0.13920123642734,0.116657819858989,0.0926307655083288,20061,"County Durham",0.980632917804856,0.00946142365589722,0.00136582742643821
"44",44,"E06000049","England","Cheshire East","North West","Unitary Authority",1166,386667,332,"Cheshire East",386667,0.201899825948426,0.0599378793638971,0.103205083443894,0.115047314614384,0.147049011164646,0.142305911805248,0.121269723043342,0.109285250616163,42086,"Cheshire East",0.966227808292829,0.0163727585396364,0.00378788902187628
"45",45,"E06000050","England","Cheshire West and Chester","North West","Unitary Authority",920,343823,374,"Cheshire West and Chester",343823,0.201202362843672,0.0738810376269185,0.113506077254867,0.115451845862551,0.139865570366148,0.138204832137466,0.116763567300617,0.10112470660776,34430,"Cheshire West and Chester",0.973313754520521,0.0124299167495935,0.00275478750515764
"46",46,"E06000051","England","Shropshire","West Midlands","Unitary Authority",3197,325415,102,"Shropshire",325415,0.185280334342301,0.0626338675230091,0.106783645498825,0.107450486302107,0.139941305717315,0.148333666241568,0.13244318792926,0.117133506445616,22508,"Shropshire",0.978548259067256,0.0100905173962611,0.00189462612166766
"47",47,"E06000054","England","Wiltshire","South West","Unitary Authority",3255,504070,155,"Wiltshire",504070,0.210831828912651,0.0628880909397504,0.108596028329399,0.117130557263872,0.144172436367965,0.137447179955165,0.11579145753566,0.103142420695538,26727,"Wiltshire",0.964399837785388,0.0131173019718418,0.00685377966414781
"48",48,"E06000055","England","Bedford","East of England","Unitary Authority",476,174687,367,"Bedford",174687,0.235695844567713,0.0708581634580707,0.115520903100975,0.134852622118418,0.138985728760583,0.124210731193506,0.0958113654708135,0.0840646413299215,28926,"Bedford",0.804748569650557,0.113869150807409,0.0393830288482909
"49",49,"E06000056","England","Central Bedfordshire","East of England","Unitary Authority",716,294096,411,"Central Bedfordshire",294096,0.221686116098145,0.0646047549099614,0.130130977639954,0.137179696425657,0.139944099885752,0.127492383439421,0.0983420379739949,0.080619933627115,25242,"Central Bedfordshire",0.936563658449334,0.025166973948526,0.0142070359028387
"50",50,"E06000057","England","Northumberland","North East","Unitary Authority",5020,323820,65,"Northumberland",323820,0.181585448706071,0.0619603483416713,0.103165338768452,0.108998826508554,0.134389475634612,0.158625162127108,0.140040763387067,0.111234636526465,19464,"Northumberland",0.983805232447758,0.00841064715784677,0.0010695254850836
"51",51,"E07000008","England","Cambridge","East of England","Non-metropolitan District",41,125063,3073,"Cambridge",125063,0.196333048143736,0.206336006652647,0.158152291245212,0.10657828454459,0.107585776768509,0.091897683567482,0.0686454027170306,0.0644715063607942,54174,"Cambridge",0.824238901402311,0.10994050069833,0.016929448521398
"52",52,"E07000010","England","Fenland","East of England","Non-metropolitan District",546,102080,187,"Fenland",102080,0.199412225705329,0.0675352664576803,0.120444749216301,0.111686912225705,0.1327684169279,0.135423197492163,0.124608150470219,0.108121081504702,21351,"Fenland",0.967479162730155,0.0112846675484453,0.00521719048518822
