Código do Município,Sigla da Unidade da Federação,"Municípios e classes de tamanho
da população dos municípios (habitantes)",Urbana,Rural,,,,,,,
3163300,MG,São José do Divino,71.1,28.9,,,,,,,
4318465,RS,São José do Herval,39.3,60.7,,,,,,,
4318481,RS,São José do Hortêncio,64.6,35.4,,,,,,,
4318499,RS,São José do Inhacorá,37.8,62.2,,,,,,,
3163607,MG,São José do Mantimento,55.9,44.1,,,,,,,
2210102,PI,São José do Peixe,51.1,49.0,,,,,,,
5107297,MT,São José do Povo,48.3,51.7,,,,,,,
2514701,PB,São José do Sabugi,64.3,35.7,,,,,,,
2412401,RN,São José do Seridó,78.0,22.0,,,,,,,
4318614,RS,São José do Sul,34.6,65.4,,,,,,,
4318622,RS,São José dos Ausentes,62.7,37.3,,,,,,,
2514800,PB,São José dos Cordeiros,41.2,58.8,,,,,,,
2210359,PI,São Lourenço do Piauí,25.1,74.9,,,,,,,
2210375,PI,São Luis do Piauí,31.8,68.2,,,,,,,
5220157,GO,São Luíz do Norte,84.6,15.4,,,,,,,
4125555,PR,São Manoel do Paraná,55.2,44.8,,,,,,,
4217105,SC,São Martinho,38.4,61.6,,,,,,,
4319125,RS,São Martinho da Serra,29.4,70.6,,,,,,,
2210383,PI,São Miguel da Baixa Grande,64.4,35.6,,,,,,,
4217154,SC,São Miguel da Boa Vista,23.1,76.9,,,,,,,
2807006,SE,São Miguel do Aleixo,47.2,52.8,,,,,,,
2210391,PI,São Miguel do Fidalgo,36.5,63.5,,,,,,,
5220264,GO,São Miguel do Passa Quatro,55.2,44.8,,,,,,,
5220280,GO,São Patrício,58.8,41.2,,,,,,,
5107404,MT,São Pedro da Cipa,89.1,10.9,,,,,,,
4319356,RS,São Pedro da Serra,43.1,56.9,,,,,,,
4319364,RS,São Pedro das Missões,28.2,71.8,,,,,,,
4217253,SC,São Pedro de Alcântara,79.3,20.7,,,,,,,
4319372,RS,São Pedro do Butiá,42.1,57.9,,,,,,,
4125902,PR,São Pedro do Paraná,65.5,34.5,,,,,,,
2111573,MA,São Pedro dos Crentes,55.1,44.9,,,,,,,
1720259,TO,São Salvador do Tocantins,54.6,45.4,,,,,,,
3164407,MG,São Sebastião da Bela Vista,58.4,41.6,,,,,,,
3164431,MG,São Sebastião da Vargem Alegre,57.3,42.7,,,,,,,
3164803,MG,São Sebastião do Rio Preto,54.3,45.7,,,,,,,
3164902,MG,São Sebastião do Rio Verde,62.6,37.4,,,,,,,
1720309,TO,São Sebastião do Tocantins,76.7,23.4,,,,,,,
2515203,PB,São Sebastião do Umbuzeiro,64.8,35.2,,,,,,,
4319703,RS,São Valentim,48.0,52.0,,,,,,,
4319711,RS,São Valentim do Sul,34.4,65.6,,,,,,,
1720499,TO,São Valério,62.1,37.9,,,,,,,
4319737,RS,São Valério do Sul,19.3,80.7,,,,,,,
4319752,RS,São Vendelino,69.6,30.4,,,,,,,
3551207,SP,Sarutaiá,81.6,18.4,,,,,,,
3551306,SP,Sebastianópolis do Sul,77.4,22.6,,,,,,,
2210623,PI,Sebastião Barros,31.2,68.8,,,,,,,
2210631,PI,Sebastião Leal,46.7,53.3,,,,,,,
4320230,RS,Sede Nova,52.5,47.5,,,,,,,
4320305,RS,Selbach,70.0,30.0,,,,,,,
3165560,MG,Sem-Peixe,52.9,47.1,,,,,,,
3165602,MG,Senador Cortes,76.1,23.9,,,,,,,
2413201,RN,Senador Georgino Avelino,98.9,1.1,,,,,,,
3165800,MG,Senador José Bento,36.6,63.4,,,,,,,
3165909,MG,Senador Modestino Gonçalves,39.4,60.6,,,,,,,
4320321,RS,Senador Salgado Filho,31.3,68.7,,,,,,,
3166105,MG,Senhora do Porto,36.8,63.2,,,,,,,
4320453,RS,Sério,23.2,76.8,,,,,,,
3166402,MG,Seritinga,82.9,17.1,,,,,,,
4217550,SC,Serra Alta,55.9,44.1,,,,,,,
3166501,MG,Serra Azul de Minas,40.5,59.5,,,,,,,
2515609,PB,Serra da Raiz,66.6,33.4,,,,,,,
3166600,MG,Serra da Saudade,64.7,35.3,,,,,,,
1600055,AP,Serra do Navio,58.8,41.2,,,,,,,
2515708,PB,Serra Grande,59.7,40.3,,,,,,,
5107883,MT,Serra Nova Dourada,59.6,40.4,,,,,,,
3166956,MG,Serranópolis de Minas,39.1,61.0,,,,,,,
4126355,PR,Serranópolis do Iguaçu,50.8,49.2,,,,,,,
3167004,MG,Serranos,77.3,22.7,,,,,,,
2413557,RN,Serrinha dos Pintos,53.0,47.1,,,,,,,
2515930,PB,Sertãozinho,73.2,26.9,,,,,,,
4320578,RS,Sete de Setembro,23.3,76.7,,,,,,,
4320602,RS,Severiano de Almeida,36.4,63.6,,,,,,,
4320651,RS,Silveira Martins,44.6,55.5,,,,,,,
3167301,MG,Silveirânia,65.2,34.8,,,,,,,
3167509,MG,Simão Pereira,59.0,41.0,,,,,,,
5220702,GO,Sítio d'Abadia,35.2,64.8,,,,,,,
2210904,PI,Socorro do Piauí,36.1,64.0,,,,,,,
2516151,PB,Sossêgo,49.9,50.1,,,,,,,
1720853,TO,Sucupira,63.5,36.5,,,,,,,
2111953,MA,Sucupira do Riachão,62.0,38.0,,,,,,,
4217758,SC,Sul Brasil,36.6,63.5,,,,,,,
4126652,PR,Sulina,41.0,59.1,,,,,,,
3552551,SP,Suzanápolis,66.8,33.3,,,,,,,
4320859,RS,Tabaí,30.2,69.8,,,,,,,
2413805,RN,Taboleiro Grande,81.4,18.6,,,,,,,
3167905,MG,Tabuleiro,66.2,33.8,,,,,,,
1720937,TO,Taipas do Tocantins,80.1,20.0,,,,,,,
1720978,TO,Talismã,53.2,46.8,,,,,,,
4126702,PR,Tamboara,85.7,14.3,,,,,,,
2210953,PI,Tamboril do Piauí,54.9,45.1,,,,,,,
2210979,PI,Tanque do Piauí,47.3,52.7,,,,,,,
3168051,MG,Taparuba,44.8,55.2,,,,,,,
3168101,MG,Tapira,66.7,33.3,,,,,,,
3168200,MG,Tapiraí,57.9,42.1,,,,,,,
3168309,MG,Taquaraçu de Minas,46.3,53.7,,,,,,,
3553658,SP,Taquaral,95.9,4.2,,,,,,,
5221007,GO,Taquaral de Goiás,81.4,18.6,,,,,,,
4321329,RS,Taquaruçu do Sul,39.2,60.8,,,,,,,
5007976,MS,Taquarussu,69.8,30.2,,,,,,,
1101559,RO,Teixeirópolis,35.1,64.9,,,,,,,
3554201,SP,Tejupá,64.9,35.1,,,,,,,
2807303,SE,Telha,38.1,61.9,,,,,,,
2516755,PB,Tenório,59.5,40.5,,,,,,,
5221080,GO,Teresina de Goiás,70.8,29.2,,,,,,,
5108105,MT,Tesouro,70.2,29.8,,,,,,,
2411056,RN,Tibau,76.9,23.1,,,,,,,
4217956,SC,Tigrinhos,19.5,80.5,,,,,,,
2414308,RN,Timbaúba dos Batistas,75.3,24.7,,,,,,,
3554607,SP,Timburi,72.7,27.3,,,,,,,
4321469,RS,Tio Hugo,42.7,57.3,,,,,,,
3169059,MG,Tocos do Moji,25.8,74.2,,,,,,,
5108204,MT,Torixoréu,76.4,23.6,,,,,,,
4321493,RS,Toropi,20.7,79.3,,,,,,,
3554656,SP,Torre de Pedra,65.2,34.8,,,,,,,
3554755,SP,Trabiju,91.8,8.2,,,,,,,
4321626,RS,Travesseiro,38.3,61.7,,,,,,,
4321634,RS,Três Arroios,36.0,64.0,,,,,,,
4321832,RS,Três Forquilhas,13.2,86.8,,,,,,,
4321857,RS,Três Palmeiras,47.7,52.3,,,,,,,
5221304,GO,Três Ranchos,88.3,11.7,,,,,,,
4218350,SC,Treviso,52.0,48.0,,,,,,,
2414456,RN,Triunfo Potiguar,65.2,34.8,,,,,,,
5221452,GO,Trombas,63.6,36.4,,,,,,,
4218756,SC,Tunápolis,30.6,69.4,,,,,,,
4322152,RS,Tunas,31.3,68.7,,,,,,,
4322186,RS,Tupanci do Sul,30.1,69.9,,,,,,,
4322251,RS,Tupandi,69.3,30.7,,,,,,,
1721257,TO,Tupirama,59.1,40.9,,,,,,,
1721307,TO,Tupiratins,50.8,49.2,,,,,,,
3555208,SP,Turiúba,81.9,18.1,,,,,,,
3555307,SP,Turmalina,71.1,28.9,,,,,,,
4322327,RS,Turuçu,42.2,57.8,,,,,,,
5221502,GO,Turvânia,80.4,19.6,,,,,,,
5221551,GO,Turvelândia,71.3,28.7,,,,,,,
3169802,MG,Turvolândia,62.5,37.5,,,,,,,
3555505,SP,Ubirajara,72.9,27.1,,,,,,,
4322343,RS,Ubiretama,21.8,78.2,,,,,,,
5221577,GO,Uirapuru,49.9,50.1,,,,,,,
3170305,MG,Umburatiba,57.6,42.4,,,,,,,
4322350,RS,União da Serra,18.8,81.2,,,,,,,
3170438,MG,União de Minas,61.7,38.3,,,,,,,
4218855,SC,União do Oeste,38.0,62.0,,,,,,,
5108303,MT,União do Sul,62.2,37.8,,,,,,,
3555703,SP,União Paulista,76.6,23.5,,,,,,,
4128302,PR,Uniflor,80.6,19.4,,,,,,,
4322376,RS,Unistalda,37.3,62.7,,,,,,,
3555901,SP,Uru,86.4,13.6,,,,,,,
3170479,MG,Uruana de Minas,56.2,43.8,,,,,,,
4218954,SC,Urupema,49.6,50.4,,,,,,,
5221809,GO,Urutaí,70.3,29.7,,,,,,,
5108352,MT,Vale de São Domingos,23.4,76.6,,,,,,,
4322525,RS,Vale Verde,27.1,72.9,,,,,,,
4322558,RS,Vanini,50.5,49.6,,,,,,,
4219101,SC,Vargeão,51.5,48.5,,,,,,,
4219150,SC,Vargem,31.9,68.1,,,,,,,
3170602,MG,Vargem Bonita,52.8,47.2,,,,,,,
4219176,SC,Vargem Bonita,55.9,44.2,,,,,,,
3170651,MG,Vargem Grande do Rio Pardo,51.2,48.9,,,,,,,
5221908,GO,Varjão,61.3,38.7,,,,,,,
2517100,PB,Várzea,73.3,26.7,,,,,,,
2211357,PI,Várzea Branca,23.4,76.7,,,,,,,
2211407,PI,Várzea Grande,59.5,40.5,,,,,,,
2414753,RN,Venha-Ver,31.4,68.6,,,,,,,
2211506,PI,Vera Mendes,32.4,67.7,,,,,,,
3171105,MG,Veríssimo,58.5,41.5,,,,,,,
3171154,MG,Vermelho Novo,39.5,60.5,,,,,,,
4322855,RS,Vespasiano Correa,20.6,79.4,,,,,,,
2414902,RN,Viçosa,95.2,4.8,,,,,,,
4323200,RS,Victor Graeff,42.3,57.7,,,,,,,
3171402,MG,Vieiras,49.7,50.3,,,,,,,
5222203,GO,Vila Boa,74.0,26.0,,,,,,,
2415008,RN,Vila Flor,96.9,3.1,,,,,,,
4323309,RS,Vila Flores,42.0,58.0,,,,,,,
4323358,RS,Vila Lângaro,17.0,83.0,,,,,,,
4323408,RS,Vila Maria,53.3,46.7,,,,,,,
2211605,PI,Vila Nova do Piauí,24.7,75.3,,,,,,,
4323457,RS,Vila Nova do Sul,52.0,48.0,,,,,,,
4128658,PR,Virmond,47.6,52.4,,,,,,,
4323507,RS,Vista Alegre,41.8,58.2,,,,,,,
4323606,RS,Vista Alegre do Prata,29.5,70.5,,,,,,,
4323705,RS,Vista Gaúcha,35.0,65.0,,,,,,,
2505501,PB,Vista Serrana,45.2,54.8,,,,,,,
3556958,SP,Vitória Brasil,82.6,17.4,,,,,,,
4323754,RS,Vitória das Missões,19.2,80.8,,,,,,,
2211704,PI,Wall Ferraz,27.2,72.8,,,,,,,
3172202,MG,Wenceslau Braz,49.8,50.3,,,,,,,
4323770,RS,Westfalia,40.5,59.5,,,,,,,
4219408,SC,Witmarsum,23.5,76.5,,,,,,,
4219606,SC,Xavantina,27.0,73.0,,,,,,,
2517407,PB,Zabelê,70.9,29.1,,,,,,,
3557154,SP,Zacarias,78.6,21.4,,,,,,,
4219853,SC,Zortéa,78.1,21.9,,,,,,,
,,De 5.001 a 10.000 ,60.0,40.0,,,,,,,
5200050,GO,Abadia de Goiás,73.9,26.1,,,,,,,
3100104,MG,Abadia dos Dourados,62.5,37.5,,,,,,,
2900108,BA,Abaíra,44.9,55.1,,,,,,,
4100103,PR,Abatiá,73.8,26.2,,,,,,,
1500131,PA,Abel Figueiredo,89.0,11.0,,,,,,,
2200053,PI,Acauã,13.4,86.7,,,,,,,
5100102,MT,Acorizal,53.1,46.9,,,,,,,
4100202,PR,Adrianópolis,32.3,67.7,,,,,,,
2100105,MA,Afonso Cunha,54.8,45.2,,,,,,,
2200103,PI,Agricolândia,70.7,29.3,,,,,,,
4200200,SC,Agrolândia,63.9,36.1,,,,,,,
2500106,PB,Água Branca,43.0,57.0,,,,,,,
4200408,SC,Água Doce,49.3,50.7,,,,,,,
5200175,GO,Água Fria de Goiás,42.0,58.0,,,,,,,
3500402,SP,Águas da Prata,89.3,10.7,,,,,,,
4200507,SC,Águas de Chapecó,53.0,47.0,,,,,,,
3500550,SP,Águas de Santa Bárbara,76.0,24.0,,,,,,,
4200606,SC,Águas Mornas,41.9,58.1,,,,,,,
4100301,PR,Agudos do Sul,34.1,65.9,,,,,,,
3200136,ES,Águia Branca,32.1,68.0,,,,,,,
2500205,PB,Aguiar,48.8,51.2,,,,,,,
1700301,TO,Aguiarnópolis,80.2,19.8,,,,,,,
3101201,MG,Aiuruoca,50.7,49.3,,,,,,,
4300208,RS,Ajuricaba,56.6,43.4,,,,,,,
2200251,PI,Alagoinha do Piauí,36.4,63.6,,,,,,,
2500536,PB,Alcantil,39.4,60.6,,,,,,,
4300307,RS,Alecrim,30.7,69.3,,,,,,,
2200277,PI,Alegrete do Piauí,55.1,44.9,,,,,,,
3101631,MG,Alfredo Vasconcelos,66.4,33.7,,,,,,,
4200705,SC,Alfredo Wagner,30.5,69.5,,,,,,,
1700350,TO,Aliança do Tocantins,83.9,16.1,,,,,,,
2900900,BA,Almadina,79.9,20.1,,,,,,,
1700400,TO,Almas,79.2,20.8,,,,,,,
3101805,MG,Alpercata,78.9,21.1,,,,,,,
4300505,RS,Alpestre,27.5,72.5,,,,,,,
2300606,CE,Altaneira,72.3,27.7,,,,,,,
5100359,MT,Alto Boa Vista,60.6,39.4,,,,,,,
3102050,MG,Alto Caparaó,74.8,25.2,,,,,,,
3153509,MG,Alto Jequitibá,51.7,48.3,,,,,,,
5200605,GO,Alto Paraíso de Goiás,75.8,24.2,,,,,,,
3200359,ES,Alto Rio Novo,58.2,41.8,,,,,,,
5100607,MT,Alto Taquari,90.7,9.3,,,,,,,
1700707,TO,Alvorada,92.7,7.3,,,,,,,
2200459,PI,Alvorada do Gurguéia,36.6,63.4,,,,,,,
5200803,GO,Alvorada do Norte,85.0,15.0,,,,,,,
1400027,RR,Amajari,13.1,86.9,,,,,,,
1600105,AP,Amapá,86.2,13.8,,,,,,,
2100550,MA,Amapá do Maranhão,75.3,24.7,,,,,,,
4100905,PR,Amaporã,79.6,20.5,,,,,,,
4300638,RS,Amaral Ferrador,29.4,70.6,,,,,,,
1300060,AM,Amaturá,52.4,47.6,,,,,,,
5200852,GO,Americano do Brasil,85.7,14.3,,,,,,,
3501806,SP,Américo de Campos,83.9,16.1,,,,,,,
4300646,RS,Ametista do Sul,52.0,48.0,,,,,,,
3102506,MG,Amparo do Serra,52.3,47.7,,,,,,,
1701002,TO,Ananás,82.6,17.5,,,,,,,
5000807,MS,Anaurilândia,50.9,49.1,,,,,,,
4200804,SC,Anchieta,40.5,59.5,,,,,,,
3102852,MG,Angelândia,50.4,49.6,,,,,,,
5000856,MS,Angélica,83.7,16.3,,,,,,,
4200903,SC,Angelina,21.4,78.6,,,,,,,
2200608,PI,Angical do Piauí,78.2,21.9,,,,,,,
3502309,SP,Anhembi,75.6,24.5,,,,,,,
2200707,PI,Anísio de Abreu,49.5,50.5,,,,,,,
4201000,SC,Anita Garibaldi,52.8,47.2,,,,,,,
4300703,RS,Anta Gorda,38.4,61.6,,,,,,,
2300804,CE,Antonina do Norte,71.6,28.4,,,,,,,
4201208,SC,Antônio Carlos,31.4,68.6,,,,,,,
3103009,MG,Antônio Dias,48.8,51.2,,,,,,,
5000906,MS,Antônio João,83.2,16.8,,,,,,,
2400901,RN,Antônio Martins,54.8,45.2,,,,,,,
4101309,PR,Antônio Olinto,9.4,90.7,,,,,,,
2500775,PB,Aparecida,47.4,52.6,,,,,,,
3200508,ES,Apiacá,69.4,30.6,,,,,,,
5100805,MT,Apiacás,74.4,25.6,,,,,,,
4201257,SC,Apiúna,44.7,55.3,,,,,,,
2901957,BA,Apuarema,68.6,31.4,,,,,,,
5201801,GO,Aragoiânia,66.1,33.9,,,,,,,
1701309,TO,Aragominas,37.9,62.1,,,,,,,
1701903,TO,Araguacema,46.3,53.7,,,,,,,
1702000,TO,Araguaçu,67.0,33.1,,,,,,,
1702158,TO,Araguanã,67.3,32.7,,,,,,,
5202155,GO,Araguapaz,69.2,30.8,,,,,,,
3503000,SP,Aramina,93.5,6.5,,,,,,,
3503109,SP,Arandu,75.4,24.6,,,,,,,
1702307,TO,Arapoema,80.9,19.1,,,,,,,
3103702,MG,Araponga,37.3,62.7,,,,,,,
3103751,MG,Araporã,96.0,4.0,,,,,,,
4300901,RS,Aratiba,50.5,49.5,,,,,,,
2902302,BA,Aratuípe,64.1,35.9,,,,,,,
3103900,MG,Araújos,86.4,13.6,,,,,,,
3104106,MG,Arceburgo,86.0,14.0,,,,,,,
3503406,SP,Arealva,78.8,21.2,,,,,,,
2501203,PB,Areial,71.1,28.9,,,,,,,
3503703,SP,Ariranha,94.7,5.3,,,,,,,
4201505,SC,Armazém,63.0,37.0,,,,,,,
2301505,CE,Arneiroz,50.7,49.3,,,,,,,
2200905,PI,Aroazes,59.4,40.7,,,,,,,
4301057,RS,Arroio do Sal,97.0,3.0,,,,,,,
5202502,GO,Aruanã,82.4,17.6,,,,,,,
4201703,SC,Ascurra,87.1,12.9,,,,,,,
1200054,AC,Assis Brasil,60.9,39.1,,,,,,,
2201051,PI,Assunção do Piauí,45.0,55.0,,,,,,,
3200706,ES,Atilio Vivacqua,62.1,37.9,,,,,,,
4301503,RS,Augusto Pestana,51.5,48.5,,,,,,,
2401305,RN,Augusto Severo,53.9,46.2,,,,,,,
4201901,SC,Aurora,34.8,65.2,,,,,,,
1702901,TO,Axixá do Tocantins,82.2,17.8,,,,,,,
2101350,MA,Bacurituba,26.9,73.1,,,,,,,
2501401,PB,Baía da Traição,38.6,61.4,,,,,,,
2401404,RN,Baía Formosa,83.1,16.9,,,,,,,
2301802,CE,Baixio,54.8,45.2,,,,,,,
3105004,MG,Baldim,64.0,36.0,,,,,,,
4201950,SC,Balneário Arroio do Silva,98.0,2.0,,,,,,,
4202057,SC,Balneário Barra do Sul,95.3,4.7,,,,,,,
4202073,SC,Balneário Gaivota,77.3,22.7,,,,,,,
3504800,SP,Bálsamo,91.6,8.4,,,,,,,
3105301,MG,Bandeira do Sul,91.2,8.8,,,,,,,
5001508,MS,Bandeirantes,68.6,31.4,,,,,,,
4301651,RS,Barão,51.7,48.3,,,,,,,
4301701,RS,Barão de Cotegipe,60.7,39.3,,,,,,,
5101605,MT,Barão de Melgaço,45.1,54.9,,,,,,,
3105509,MG,Barão de Monte Alto,72.0,28.0,,,,,,,
4301750,RS,Barão do Triunfo,9.9,90.1,,,,,,,
3505104,SP,Barbosa,84.6,15.4,,,,,,,
2501575,PB,Barra de Santana,8.9,91.1,,,,,,,
2501708,PB,Barra de São Miguel,42.1,57.9,,,,,,,
2700607,AL,Barra de São Miguel,86.1,13.9,,,,,,,
3505351,SP,Barra do Chapéu,29.4,70.6,,,,,,,
2903102,BA,Barra do Rocha,60.3,39.7,,,,,,,
3505401,SP,Barra do Turvo,41.1,58.9,,,,,,,
3105707,MG,Barra Longa,37.7,62.4,,,,,,,
4102604,PR,Barracão,72.0,28.0,,,,,,,
4301800,RS,Barracão,56.7,43.3,,,,,,,
5203203,GO,Barro Alto,71.7,28.3,,,,,,,
2201408,PI,Barro Duro,72.5,27.5,,,,,,,
2903300,BA,Barro Preto,82.1,18.0,,,,,,,
1703107,TO,Barrolândia,83.7,16.3,,,,,,,
4202131,SC,Bela Vista do Toldo,14.1,85.9,,,,,,,
2101731,MA,Belágua,50.0,50.0,,,,,,,
2502003,PB,Belém do Brejo do Cruz,73.6,26.4,,,,,,,
2700904,AL,Belo Monte,16.7,83.3,,,,,,,
3106408,MG,Belo Vale,43.7,56.3,,,,,,,
2201606,PI,Beneditinos,63.2,36.8,,,,,,,
2101806,MA,Benedito Leite,51.4,48.6,,,,,,,
2401602,RN,Bento Fernandes,40.4,59.6,,,,,,,
2101939,MA,Bernardo do Mearim,38.8,61.2,,,,,,,
2201705,PI,Bertolínia,73.2,26.8,,,,,,,
2201739,PI,Betânia do Piauí,27.9,72.1,,,,,,,
3506409,SP,Bilac,92.0,8.0,,,,,,,
2201770,PI,Boa Hora,24.2,75.8,,,,,,,
2502102,PB,Boa Ventura,61.2,38.8,,,,,,,
4103040,PR,Boa Ventura de São Roque,23.6,76.4,,,,,,,
2502151,PB,Boa Vista,51.5,48.5,,,,,,,
4103057,PR,Boa Vista da Aparecida,61.9,38.1,,,,,,,
4302204,RS,Boa Vista do Buricá,66.4,33.6,,,,,,,
2101970,MA,Boa Vista do Gurupi,70.7,29.3,,,,,,,
3107208,MG,Bocaina de Minas,47.9,52.2,,,,,,,
5002159,MS,Bodoquena,72.4,27.7,,,,,,,
3506904,SP,Bofete,63.8,36.2,,,,,,,
5203401,GO,Bom Jardim de Goiás,75.4,24.6,,,,,,,
3107505,MG,Bom Jardim de Minas,85.8,14.2,,,,,,,
2401701,RN,Bom Jesus,71.7,28.3,,,,,,,
3107703,MG,Bom Jesus do Amparo,45.8,54.2,,,,,,,
5101852,MT,Bom Jesus do Araguaia,49.8,50.2,,,,,,,
3201100,ES,Bom Jesus do Norte,91.8,8.2,,,,,,,
2201919,PI,Bom Princípio do Piauí,31.2,68.8,,,,,,,
4202602,SC,Bom Retiro,71.8,28.2,,,,,,,
2502300,PB,Bom Sucesso,40.3,59.7,,,,,,,
4103206,PR,Bom Sucesso,81.2,18.8,,,,,,,
3108107,MG,Bonfim,48.9,51.1,,,,,,,
2201929,PI,Bonfim do Piauí,30.3,69.7,,,,,,,
5203559,GO,Bonfinópolis,93.2,6.8,,,,,,,
3108206,MG,Bonfinópolis de Minas,70.5,29.5,,,,,,,
3108255,MG,Bonito de Minas,22.8,77.2,,,,,,,
4302451,RS,Boqueirão do Leão,21.8,78.2,,,,,,,
2201945,PI,Boqueirão do Piauí,43.1,57.0,,,,,,,
2502706,PB,Borborema,73.0,27.0,,,,,,,
4103305,PR,Borrazópolis,73.7,26.3,,,,,,,
4302501,RS,Bossoroca,53.5,46.5,,,,,,,
3108503,MG,Botumirim,53.4,46.6,,,,,,,
4103354,PR,Braganey,59.6,40.4,,,,,,,
2201960,PI,Brasileira,43.7,56.3,,,,,,,
3507704,SP,Braúna,87.4,12.6,,,,,,,
3108800,MG,Braúnas,31.7,68.3,,,,,,,
2602407,PE,Brejão,40.3,59.7,,,,,,,
2602506,PE,Brejinho,46.3,53.7,,,,,,,
1703701,TO,Brejinho de Nazaré,80.9,19.1,,,,,,,
2102150,MA,Brejo de Areia,51.2,48.8,,,,,,,
2502904,PB,Brejo dos Santos,74.8,25.2,,,,,,,
2800704,SE,Brejo Grande,52.0,48.1,,,,,,,
1501758,PA,Brejo Grande do Araguaia,58.9,41.1,,,,,,,
5203807,GO,Britânia,82.5,17.5,,,,,,,
1200138,AC,Bujari,43.6,56.4,,,,,,,
5203906,GO,Buriti Alegre,92.9,7.1,,,,,,,
1703800,TO,Buriti do Tocantins,76.3,23.7,,,,,,,
2202026,PI,Buriti dos Montes,30.4,69.6,,,,,,,
2503100,PB,Cabaceiras,44.0,56.0,,,,,,,
3109451,MG,Cabeceira Grande,82.1,17.9,,,,,,,
5204003,GO,Cabeceiras,74.9,25.1,,,,,,,
2202059,PI,Cabeceiras do Piauí,16.7,83.3,,,,,,,
1100031,RO,Cabixi,42.7,57.3,,,,,,,
1100601,RO,Cacaulândia,36.1,63.9,,,,,,,
3102704,MG,Cachoeira de Pajeú,49.8,50.2,,,,,,,
2503308,PB,Cachoeira dos Índios,35.7,64.4,,,,,,,
5204250,GO,Cachoeira Dourada,64.9,35.1,,,,,,,
2102374,MA,Cachoeira Grande,44.9,55.1,,,,,,,
2503555,PB,Cacimbas,24.1,75.9,,,,,,,
4203105,SC,Caibi,57.5,42.5,,,,,,,
2503605,PB,Caiçara,71.9,28.1,,,,,,,
4303400,RS,Caiçara,31.4,68.6,,,,,,,
2401859,RN,Caiçara do Norte,98.0,2.0,,,,,,,
3509106,SP,Caiuá,38.3,61.7,,,,,,,
3509304,SP,Cajobi,93.5,6.5,,,,,,,
2202083,PI,Cajueiro da Praia,37.7,62.3,,,,,,,
1600204,AP,Calçoene,81.2,18.8,,,,,,,
2503803,PB,Caldas Brandão,57.2,42.8,,,,,,,
2202091,PI,Caldeirão Grande do Piauí,29.3,70.7,,,,,,,
4103503,PR,Califórnia,74.7,25.3,,,,,,,
2603405,PE,Calumbi,38.6,61.4,,,,,,,
2503902,PB,Camalaú,50.2,49.8,,,,,,,
4303608,RS,Cambará do Sul,46.5,53.5,,,,,,,
4103800,PR,Cambira,75.7,24.3,,,,,,,
2701357,AL,Campestre,84.0,16.0,,,,,,,
4303707,RS,Campina das Missões,35.8,64.2,,,,,,,
3509452,SP,Campina do Monte Alegre,84.6,15.4,,,,,,,
2202109,PI,Campinas do Piauí,33.4,66.6,,,,,,,
4303806,RS,Campinas do Sul,76.6,23.4,,,,,,,
5204805,GO,Campo Alegre de Goiás,73.9,26.1,,,,,,,
4203402,SC,Campo Belo do Sul,58.9,41.1,,,,,,,
4104105,PR,Campo do Tenente,58.9,41.1,,,,,,,
4203501,SC,Campo Erê,66.7,33.3,,,,,,,
3111408,MG,Campo Florido,75.8,24.2,,,,,,,
2701506,AL,Campo Grande,46.3,53.7,,,,,,,
2202133,PI,Campo Grande do Piauí,28.1,71.9,,,,,,,
2202174,PI,Campo Largo do Piauí,21.0,79.0,,,,,,,
5204854,GO,Campo Limpo de Goiás,84.8,15.3,,,,,,,
4304002,RS,Campo Novo,75.3,24.7,,,,,,,
5102686,MT,Campos de Júlio,77.9,22.1,,,,,,,
1703842,TO,Campos Lindos,59.2,40.8,,,,,,,
5204953,GO,Campos Verdes,89.2,10.8,,,,,,,
2603603,PE,Camutanga,80.1,19.9,,,,,,,
3111903,MG,Cana Verde,72.8,27.2,,,,,,,
2906105,BA,Canápolis,34.3,65.7,,,,,,,
2906402,BA,Candeal,39.1,60.9,,,,,,,
4304309,RS,Cândido Godói,28.3,71.8,,,,,,,
4304358,RS,Candiota,29.6,70.4,,,,,,,
3112109,MG,Caparaó,38.5,61.5,,,,,,,
3112406,MG,Capetinga,83.5,16.5,,,,,,,
2504033,PB,Capim,73.3,26.7,,,,,,,
3112505,MG,Capim Branco,91.1,8.9,,,,,,,
3112802,MG,Capitólio,79.5,20.5,,,,,,,
1200179,AC,Capixaba,44.7,55.3,,,,,,,
3112901,MG,Caputira,41.9,58.2,,,,,,,
4304713,RS,Caraá,14.5,85.5,,,,,,,
5002803,MS,Caracol,60.0,40.0,,,,,,,
2202539,PI,Caraúbas do Piauí,17.6,82.4,,,,,,,
3113503,MG,Carbonita,73.7,26.3,,,,,,,
2907004,BA,Cardeal da Silva,32.6,67.4,,,,,,,
3113602,MG,Careaçu,74.7,25.3,,,,,,,
5205000,GO,Carmo do Rio Verde,79.0,21.0,,,,,,,
2402402,RN,Carnaúba dos Dantas,81.1,18.9,,,,,,,
2402501,RN,Carnaubais,48.7,51.3,,,,,,,
3114550,MG,Carneirinho,73.7,26.4,,,,,,,
2701803,AL,Carneiros,56.7,43.3,,,,,,,
1400233,RR,Caroebe,41.0,59.0,,,,,,,
4304903,RS,Casca,58.8,41.2,,,,,,,
2504157,PB,Casserengue,49.0,51.0,,,,,,,
