"","Intervention","X1.day","X2.days","X3.days","X4.days","X5.days"
"1","School","0.353**
(0.131)","0.365**
(0.131)","0.364**
(0.126)","0.387**
(0.12)","0.401***
(0.117)"
"2","Childcare","-0.329***
(0.0767)","-0.321***
(0.0722)","-0.316***
(0.07)","-0.271***
(0.0667)","-0.242***
(0.067)"
"3","Retail","0.288
(0.257)","0.279
(0.258)","0.286
(0.243)","0.333
(0.237)","0.343
(0.233)"
"4","Restaurant","-0.0484
(0.132)","-0.0305
(0.118)","-0.0416
(0.108)","-0.0486
(0.0936)","-0.0596
(0.091)"
"5","Sports indoor","0.0645
(0.367)","0.112
(0.351)","0.187
(0.354)","0.229
(0.338)","0.251
(0.335)"
