"","combine","coefficient","se","t","number"
"554","win7_school_close+win7_restaurant_close+win7_entertainment_close+win7_sports_outdoor_close",-0.813643334200164,0.291020533654499,-2.79582792314622,4
"555","win7_childcare_close+win7_restaurant_close+win7_entertainment_close+win7_sports_outdoor_close",-0.870555397461728,0.189461439771282,-4.59489486891192,4
"556","win7_school_close+win7_childcare_close+win7_restaurant_close+win7_entertainment_close+win7_sports_outdoor_close",-0.938526317092244,0.280604229755973,-3.34466204557369,5
"557","win7_shop_close+win7_restaurant_close+win7_entertainment_close+win7_sports_outdoor_close",-0.632402417598821,0.189381046295655,-3.33931209045881,4
"558","win7_school_close+win7_shop_close+win7_restaurant_close+win7_entertainment_close+win7_sports_outdoor_close",-0.700373337229337,0.293713535570687,-2.38454566238668,5
"559","win7_childcare_close+win7_shop_close+win7_restaurant_close+win7_entertainment_close+win7_sports_outdoor_close",-0.757285400490901,0.197346922004958,-3.8373306905282,5
"560","win7_school_close+win7_childcare_close+win7_shop_close+win7_restaurant_close+win7_entertainment_close+win7_sports_outdoor_close",-0.825256320121418,0.284285309344627,-2.90291581377845,6
"561","win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.603371825039333,0.192163357220977,-3.13989011102408,3
"562","win7_school_close+win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.67134274466985,0.294231871200916,-2.28167921418487,4
"563","win7_childcare_close+win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.728254807931414,0.193075552318322,-3.77186442916785,4
"564","win7_school_close+win7_childcare_close+win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.79622572756193,0.279988707411432,-2.84377800420325,5
"565","win7_shop_close+win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.490101828068507,0.202465645215496,-2.42066661505394,4
"566","win7_school_close+win7_shop_close+win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.558072747699023,0.299444833904488,-1.86369135316934,5
"567","win7_childcare_close+win7_shop_close+win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.614984810960587,0.204568971059786,-3.00624678207359,5
"568","win7_school_close+win7_childcare_close+win7_shop_close+win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.682955730591104,0.286344555008407,-2.3850836994999,6
"569","win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.530682595766659,0.204909668703844,-2.58983677599739,4
"570","win7_school_close+win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_sports_outdoor_close",-0.598653515397175,0.3061915665068,-1.9551600399284,5
