"","division_eng_name","date","win7_Rt_estimate","win7_Rt_estimate_std","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_inside_10lower","win7_gathering_outside_10lower","win7_gathering_outside_10over","win7_gathering_inside_10over","win7_worship_close","cv","log_win7_Rt_estimate"
"36","Aichi","2020-08-12",0.88355115062124,0.0278568949487734,0.5,0,0,0,0.5,0.5,0.5,0,0,0,1,1,1,1,0,0.0315283330559716,-0.123806093458262
"37","Aichi","2020-07-07",NA,0.907444719298386,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"38","Aichi","2020-04-18",0.980061951782395,0.0921964730350458,1,1,1,1,0,0.5,1,1,1,1,1,1,1,1,1,0.0940720868383597,-0.0201394932110885
"39","Aichi","2020-07-08",NA,1.01300783414792,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"40","Aichi","2020-08-04",1.92090141094884,0.0550629894817734,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0286651824856408,0.652794560735338
"41","Aichi","2020-08-13",0.842128644615473,0.0270670397835926,0.5,0,0,0,0.5,0.5,0.5,0,0,0,1,1,1,1,0,0.0321412173266613,-0.171822491831239
"42","Aichi","2020-04-10",3.43794025348823,0.302693761207706,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0880450906325625,1.23487252853398
"43","Aichi","2020-05-07",NA,0.0701304313174758,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"44","Aichi","2020-06-30",NA,0.343442397894342,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"45","Aichi","2020-07-27",3.27866571807571,0.142014776672729,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.043314808182421,1.18743654636362
"46","Aichi","2020-06-12",NA,1.04131255624372,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,0,NA,NA
"47","Aichi","2020-04-29",0.540255152367227,0.0728479898842085,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.134839972492648,-0.615713746635108
"48","Aichi","2020-06-22",NA,0.422821211090964,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"49","Aichi","2020-07-19",8.9698871497476,0.855245182703911,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0953462589245592,2.19387309513845
"50","Aichi","2020-07-28",3.05220241875863,0.122382167260865,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0400963469882313,1.11586343453833
"51","Aichi","2020-04-03",4.10305652521179,0.683842754201965,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,1.41173218992177
"52","Aichi","2020-06-14",NA,0.870335336920087,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,0,NA,NA
"53","Aichi","2020-07-11",NA,0.984376738148192,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"54","Aichi","2020-08-07",1.3880176583429,0.0396576473812258,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0285714285714286,0.32787658415275
"55","Aichi","2020-07-14",3.35276885127141,0.967860999406071,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.288675134594813,1.20978652722271
"56","Aichi","2020-04-13",2.1023299201126,0.174588997026626,0,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0.0830454798537401,0.743046215472813
