A1101_総人口【人】,A1201_0～4歳人口【人】,A1202_5～9歳人口【人】,A1203_10～14歳人口【人】,A1204_15～19歳人口【人】,A1205_20～24歳人口【人】,A1206_25～29歳人口【人】,A1207_30～34歳人口【人】,A1208_35～39歳人口【人】,A1209_40～44歳人口【人】,A1210_45～49歳人口【人】,A1211_50～54歳人口【人】,A1212_55～59歳人口【人】,A1213_60～64歳人口【人】,A1214_65～69歳人口【人】,A1215_70～74歳人口【人】,A1216_75～79歳人口【人】,A1304_15歳未満人口割合【％】,A1305_15～64歳人口割合【％】,A1306_65歳以上人口割合【％】,
31000_鳥取県,"556,000","22,000","23,000","25,000","26,000","22,000","22,000","27,000","32,000","36,000","38,000","33,000","34,000","38,000","44,000","41,000","31,000",12.5,55.4,32.1
32000_島根県,"674,000","26,000","28,000","29,000","31,000","26,000","25,000","31,000","36,000","42,000","44,000","38,000","41,000","45,000","54,000","52,000","40,000",12.3,53.4,34.3
33000_岡山県,"1,890,000","74,000","79,000","83,000","92,000","97,000","90,000","96,000","106,000","124,000","139,000","114,000","107,000","114,000","130,000","140,000","112,000",12.5,57.1,30.3
34000_広島県,"2,804,000","110,000","122,000","126,000","133,000","136,000","130,000","146,000","162,000","190,000","217,000","180,000","163,000","165,000","194,000","205,000","164,000",12.8,57.9,29.3
35000_山口県,"1,358,000","48,000","53,000","57,000","62,000","57,000","54,000","62,000","71,000","85,000","96,000","81,000","79,000","88,000","109,000","111,000","91,000",11.6,54.1,34.3
36000_徳島県,"728,000","25,000","27,000","29,000","32,000","29,000","28,000","34,000","40,000","46,000","51,000","45,000","45,000","51,000","60,000","58,000","44,000",11.2,55.2,33.6
37000_香川県,"956,000","36,000","39,000","41,000","45,000","42,000","38,000","46,000","53,000","64,000","71,000","59,000","56,000","61,000","71,000","76,000","57,000",12.2,56,31.8
38000_愛媛県,"1,339,000","48,000","54,000","57,000","62,000","53,000","51,000","63,000","72,000","87,000","95,000","83,000","83,000","90,000","106,000","105,000","82,000",11.8,55.1,33
39000_高知県,"698,000","24,000","26,000","28,000","31,000","27,000","25,000","30,000","36,000","45,000","49,000","42,000","43,000","47,000","56,000","58,000","46,000",11.1,53.7,35.2
40000_福岡県,"5,104,000","216,000","227,000","228,000","239,000","275,000","252,000","275,000","315,000","352,000","374,000","319,000","297,000","310,000","366,000","346,000","273,000",13.1,58.9,27.9
41000_佐賀県,"815,000","34,000","37,000","39,000","41,000","36,000","34,000","40,000","47,000","52,000","53,000","49,000","51,000","56,000","64,000","55,000","44,000",13.5,56.2,30.3
42000_長崎県,"1,327,000","52,000","56,000","59,000","61,000","51,000","52,000","61,000","70,000","80,000","87,000","82,000","86,000","95,000","111,000","97,000","78,000",12.7,54.7,32.7
43000_熊本県,"1,748,000","73,000","79,000","80,000","82,000","76,000","74,000","88,000","99,000","109,000","111,000","104,000","108,000","120,000","135,000","120,000","96,000",13.3,55.6,31.1
44000_大分県,"1,135,000","42,000","47,000","49,000","53,000","48,000","45,000","54,000","63,000","73,000","76,000","67,000","67,000","77,000","90,000","87,000","69,000",12.2,54.9,32.9
45000_宮崎県,"1,073,000","44,000","49,000","50,000","50,000","42,000","40,000","50,000","59,000","68,000","69,000","62,000","67,000","76,000","88,000","79,000","61,000",13.3,54.5,32.3
46000_鹿児島県,"1,602,000","66,000","72,000","74,000","73,000","62,000","63,000","76,000","90,000","98,000","99,000","94,000","103,000","120,000","132,000","110,000","89,000",13.3,54.8,32
47000_沖縄県,"1,453,000","81,000","83,000","82,000","80,000","74,000","75,000","86,000","93,000","100,000","105,000","91,000","88,000","92,000","98,000","66,000","55,000",16.9,60.9,22.2
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
