"","threshold","beta_denlow","se_denlow","beta_denhigh","se_denhigh"
"1",600,-0.466860677303054,0.178954329288336,-0.295517994429698,0.16427349878813
"2",700,-0.350072288339369,0.121311752693454,-0.448778246911471,0.184796619395929
"3",800,-0.411087624509782,0.159528740967061,-0.349433731220128,0.13461728139484
"4",900,-0.386232744921367,0.140803590038823,-0.357225374835834,0.158705733925403
"5",1000,-0.389232953292696,0.137186582782199,-0.517081856041976,0.243830547855705
