"","intervention","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","default"
"1","School",-0.064088536331722,-0.0680175286567895,-0.0677200948074825,-0.0491157541304639,-0.065399724507235,-0.0715857145310325,-0.30953866998901,-0.0774518829466285,-0.0617522805270324,-0.0284098012611616,-0.168222234479976,-0.201992834093282,-0.0703991339996621,-0.0806820283976241,-0.0771900289521357,-0.0679709196305164,-0.0636372582939148,0.0345667011383336,-0.250460676003105,-0.0724949219617649,-0.0711735330923417,-0.0581858695892496,0.323716634757472,-0.073840319074793,-0.0303652108918544,-0.0648584043330864,-0.06950826148418,-0.0466488566040536,-0.071301028627141,-0.0659232974930542,-0.0697422638557135,-0.0849237506956872,0.121894404110481,-0.0730972268694775,-0.0510903949548744,-0.0774393092005459,-0.00690700785522179,-0.0700997285151644,-0.0281323357383303,-0.0687981262212947,-0.157376182619821,-0.0665416933773085,-0.0496805312725037,-0.0736905366180778,-0.0647736400209776,-0.0679709196305164
"2","Childcare",-0.0917420988125137,-0.124817335217144,-0.124723012168713,-0.112346803712901,-0.131630186114022,-0.119349002447963,-0.190681371091837,-0.109594437738638,-0.122162795774738,-0.136315803160892,-0.0429750255048061,-0.141745535592929,-0.134297045814439,-0.119067610289817,-0.112816425661944,-0.12488298289208,-0.129504917137763,-0.142556821106284,-0.0703573298929717,-0.118625302894781,-0.125906311507489,-0.124307339402586,-0.16020144506539,-0.12379646212907,-0.144982426688695,-0.129484470858361,-0.124770177019127,-0.141754941606608,-0.125452540735806,-0.12513921277284,-0.125627217838496,-0.157418998472191,-0.103393476639472,-0.12544817160556,-0.0933066057971771,-0.116166057138641,-0.171480598491416,-0.122190003570854,-0.116804122531365,-0.125059041989863,-0.198498286273256,-0.123443072533052,-0.13626287470199,-0.121164431802069,-0.123557260105605,-0.12488298289208
"3","Retail",0.1288882174582,0.113267287205209,0.112086689004775,0.110014284125973,0.119099656298603,0.121697318041126,0.0623633366744686,0.128194111148646,0.124146058928926,0.115440557886546,0.117269118026035,0.137262197991047,0.159505381820384,0.109627124950425,0.12486579374147,0.113269996970826,0.106684042773709,0.0972668100906379,0.0963506766210585,0.118970186188541,0.114148876955676,0.125047333433456,0.0954614960531035,0.104730385712545,0.108645071484965,0.110900661104825,0.112804281779404,0.103958921801139,0.112082467580518,0.100758464721918,0.113204815235385,0.140969507765145,0.110615435795543,0.124525955773678,0.106563024535305,0.123330791013497,0.12083054648746,0.102760644450433,0.117366165763287,0.113452496855364,0.0686857422238751,0.10918563617004,0.10210197165685,0.0975794491352909,0.107033350858378,0.113269996970826
"4","Restaurant",0.166810189774299,0.0728299811074704,0.0733780101144471,0.0361809424749687,0.0123533331915647,0.0652283634921396,0.0317765215902938,0.0698867314866143,0.138805223684798,0.127158791298926,0.0953043061290302,0.0728685830347044,0.0355438884494422,0.0835307314235928,0.0864790260085363,0.0726892292726749,0.0742704364311306,0.0737911615697337,0.0786688080284419,0.0695481419661793,0.0631778709085448,0.0449673239914288,0.0989677002774274,0.0736368711970477,0.068701640372755,0.075806111706696,0.0716456477168957,0.0831196561454826,0.0684739733670432,0.0761654865898158,0.0700984681418115,-0.084140075048492,0.159156662039429,0.0569392883968016,0.037344345307573,0.0770943424149569,0.0600885546041728,0.0610306770013262,0.0451449798398548,0.0701312597527474,0.21293292778157,0.110328109374058,0.0896620345269402,0.0675246853219685,0.0776532541136569,0.0726892292726749
"5","Bar",-0.0197809421854382,0.215027358452379,0.21427619621506,0.289472388145501,0.195717636691599,0.220630752439702,0.234287416957749,0.213690788553948,0.217979939258065,0.224969484590997,0.203872575943421,0.207564746561972,0.221980505863622,0.206618546844272,0.232873716528157,0.214989818802989,0.212522211398479,0.157992803401291,0.313051555934118,0.216955376724413,0.214286698612956,0.207741606191763,0.206890265741744,0.208321935067617,0.218707316110542,0.214179026070458,0.213036475937314,0.211107378793684,0.212111846190582,0.218570966854532,0.214735675707456,0.262135143094125,0.262616879223872,0.216512075757187,0.244242841977729,0.210441883073633,0.228418636484078,0.206918951683165,0.218409848036901,0.21449864199631,0.368885718602757,0.232530883584558,0.199973798655521,0.216263071849051,0.210886181222401,0.214989818802989
"6","Entertainment",-0.685027431797532,-0.752389337439109,-0.752013708488688,-0.79118445390365,-0.746181508629424,-0.757426503040988,-0.609477316460471,-0.749999408275283,-0.742846397552482,-0.748793356062935,-0.770112766450878,-0.732941692439103,-0.74570910764304,-0.771223473944722,-0.751859337119052,-0.752416701002403,-0.755444908871668,-0.362664753131001,-0.771952218679442,-0.752599854294486,-0.760224915748425,-0.751269267376554,-0.73816252288213,-0.753409754837644,-0.848803169056434,-0.753084226689889,-0.756041325215284,-0.745752804862607,-0.75567107903077,-0.752176411290343,-0.748174879414527,-0.740479766998312,-0.671245737060107,-0.750439652329769,-0.700202961464515,-0.748552261599369,-0.746477805560749,-0.746512418663119,-0.758464590764782,-0.75556483270804,-1.20115887053497,-0.782902765936844,-0.73911100840205,-0.754017253134657,-0.749575913088461,-0.752416701002403
"7","Culture",0.0394014173267286,0.0633279185131788,0.0626931928302936,0.0307276556222991,0.0421735391889761,0.0533540521964142,0.00924661528657035,0.066002656254315,0.0483289706496066,0.0803030237083259,0.0596385524851516,0.106055956559656,0.0361974127407084,0.071752012919774,0.0716701318708818,0.0633779016145913,0.0653038410327288,-0.028239776731515,0.0844874411829966,0.0639010840122072,0.0604319595382824,0.0524670051418146,0.0750168338464358,0.0729232236398779,0.301418529123931,0.0662833319040598,0.0666895740906428,0.0636204958993677,0.0636235034245607,0.0597218071150116,0.0614759797689313,0.0159711286541191,0.00741301732991647,0.0388319982616883,0.0886770210555353,0.0610274660827285,0.0701138679671913,0.0426003161934423,0.067118253200947,0.062594810145684,-0.0285424198506345,0.0654041896516974,0.0624754473001431,0.0667690439798794,0.078553001191498,0.0633779016145913
"8","Religion",-0.0576638863199049,-0.0890964654894944,-0.089006771969031,-0.0316301675010702,-0.0903700574359666,-0.0900311692125726,0.178025323522522,-0.0835311703987517,-0.09474860492455,-0.0870800261311909,-0.0639554482981758,-0.0790843460897116,-0.0907963017128402,-0.0825105496794345,-0.0876121976115839,-0.0891724640469234,-0.0891242752584801,-0.222905174017167,-0.072900879608275,-0.0868835731691047,-0.0907645857906334,-0.0895299226247811,-0.0971273327107561,-0.0854618782925906,-0.136336730534093,-0.0911714648840947,-0.0879655566378114,-0.0936892104725608,-0.0905508790107229,-0.0888062815201608,-0.0916709410607471,-0.26908333836823,-0.0762900357352314,-0.123330333785206,-0.342558646215407,-0.0875232743041109,-0.105090049185008,-0.0850085345392207,-0.0835625574862622,-0.0895904760583947,0.0893476631731748,-0.102055058847138,-0.0962600760780954,-0.0863461220543073,-0.0681042259380594,-0.0891724640469234
"9","Sports indoor",-0.00786454828123991,-0.0184887248792914,-0.0180179528214067,-0.0517900239001035,-0.010710701675268,-0.0212707253079345,0.0508800502781384,-0.0297314659889866,-0.0245080297054506,0.069447644389973,-0.0120850880783287,-0.064457121829788,-0.0392174214186653,-0.0132894081880009,-0.0260981972936782,-0.0184458200605971,-0.0100398951270026,-0.0342778202749842,-0.0506433420659976,-0.0210612866248165,-0.0293995111936468,-0.0198815849536799,0.00385931920724133,-0.0153740790595912,-0.0675417905775018,-0.0172010442790065,-0.0185943151311691,-0.0197843521743293,-0.0163005108965722,-0.0111217093794168,-0.0231438733013002,-0.0720346661502043,-0.0952955002454122,0.0139887980132693,0.0443563627714684,-0.0304128347471504,-0.0273006829370218,-0.00327106713806865,-0.0175968079966393,-0.0180152248728254,0.116807487228403,-0.0217878036411706,-0.011796885099778,-0.0079668669901713,-0.0401278971269758,-0.0184458200605971
"10","Sports outdoor",-0.162936398357047,-0.0660179955156213,-0.0665176916177474,-0.0174617222473557,-0.0476932045946192,-0.0469277741576649,-0.0427480584026186,-0.0549126567191151,-0.06451409473132,-0.191636418834593,-0.09023346374962,-0.0843139252303205,-0.0482373933787101,-0.0818698823109361,-0.0641836914211063,-0.0659449428399196,-0.0791058665158353,-0.051066045419566,0.0231091668508064,-0.060563241294354,-0.0551139409324989,-0.0541535186050833,-0.0997959464961551,-0.0800300160058725,-0.111845672807725,-0.0726311999645972,-0.0669341343671318,-0.0647637129151568,-0.0704688975126423,-0.0611678591363375,-0.0622102483509713,-0.0462490255127734,-0.0574679962848919,-0.0322279135649811,-0.0389892793902289,-0.0596051860032583,-0.0486313817280212,-0.0680363115748128,-0.0682517421298366,-0.0657639209746338,-0.0421368948349833,-0.0674098537686486,-0.0754768202672896,-0.0723506314913459,-0.0858872941314214,-0.0659449428399196
