"","threshold","beta_poplow","se_poplow","beta_pophigh","se_pophigh"
"1",220000,-2.40567830805104,0.409457879992586,-1.26889756035392,0.440866753861341
"2",230000,-2.4064405550323,0.407570019435227,-1.26897765527671,0.440927177995847
"3",240000,-2.71255313692085,0.2835329840475,-1.32537785304753,0.492117173956994
"4",250000,-2.71255313692085,0.2835329840475,-1.32537785304753,0.492117173956994
"5",260000,-2.62939790889939,0.245648021832438,-1.34267983200438,0.494662160736869
"6",270000,-2.2525196984028,0.362045159107624,-1.31743076914166,0.494442691673191
"7",280000,-3.60375476786035,0.479354375394595,-1.53317306458388,0.408460865702671
"8",290000,-3.36672101635293,0.79510102151862,-1.55273187104593,0.414977362365284
"9",3e+05,-3.36672101635293,0.79510102151862,-1.55273187104593,0.414977362365284
"10",310000,-3.4271674669246,0.794745879880547,-1.57925121971154,0.423844025876375
"11",320000,-2.68931834679381,1.11805031247577,-1.89394675801042,0.392609670945623
"12",330000,-2.68931834679381,1.11805031247577,-1.89394675801042,0.392609670945623
"13",340000,-2.68931834679381,1.11805031247577,-1.89394675801042,0.392609670945623
"14",350000,-2.60130068302213,1.05911667118813,-1.89060496832994,0.39231253828723
"15",360000,-2.60130068302213,1.05911667118813,-1.89060496832994,0.39231253828723
"16",370000,-2.60130068302213,1.05911667118813,-1.89060496832994,0.39231253828723
"17",380000,-2.60130068302213,1.05911667118813,-1.89060496832994,0.39231253828723
"18",390000,-2.42797289387076,0.91237241792769,-1.89902469010233,0.405203536382433
"19",4e+05,-2.42797289387076,0.91237241792769,-1.89902469010233,0.405203536382433
"20",410000,-2.42797289387076,0.91237241792769,-1.89902469010233,0.405203536382433
"21",420000,-2.42797289387076,0.91237241792769,-1.89902469010233,0.405203536382433
"22",430000,-2.47641945013031,0.909508793651275,-1.93040743460992,0.450537875717124
"23",440000,-2.47641945013031,0.909508793651275,-1.93040743460992,0.450537875717124
"24",450000,-2.47641945013031,0.909508793651275,-1.93040743460992,0.450537875717124
"25",460000,-2.47641945013031,0.909508793651275,-1.93040743460992,0.450537875717124
"26",470000,-2.47641945013031,0.909508793651275,-1.93040743460992,0.450537875717124
"27",480000,-2.3469563413974,0.696536405009393,-1.95081854150998,0.46663807303735
"28",490000,-3.14110982174146,0.613177683821789,-1.70421434774514,0.529082740053903
"29",5e+05,-3.14161990153122,0.613794947668731,-1.72155949256127,0.531840610826148
"30",510000,-3.14161990153122,0.613794947668731,-1.72155949256127,0.531840610826148
"31",520000,-3.14161990153122,0.613794947668731,-1.72155949256127,0.531840610826148
"32",530000,-3.14161990153122,0.613794947668731,-1.72155949256127,0.531840610826148
"33",540000,-3.14161990153122,0.613794947668731,-1.72155949256127,0.531840610826148
"34",550000,-3.14161990153122,0.613794947668731,-1.72155949256127,0.531840610826148
"35",560000,-3.14161990153122,0.613794947668731,-1.72155949256127,0.531840610826148
"36",570000,-3.14161990153122,0.613794947668731,-1.72155949256127,0.531840610826148
"37",580000,-3.14161990153122,0.613794947668731,-1.72155949256127,0.531840610826148
"38",590000,-3.08123592736576,0.593376111159709,-1.85224025121034,0.519274275325981
"39",6e+05,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"40",610000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"41",620000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"42",630000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"43",640000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"44",650000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"45",660000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"46",670000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"47",680000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"48",690000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"49",7e+05,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"50",710000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"51",720000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"52",730000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"53",740000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"54",750000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"55",760000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"56",770000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"57",780000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"58",790000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"59",8e+05,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"60",810000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"61",820000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"62",830000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"63",840000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"64",850000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"65",860000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"66",870000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
"67",880000,-3.0681510163813,0.591157735268764,-1.88970787648008,0.528627029202689
