"","threshold","beta_denlow","se_denlow","beta_denhigh","se_denhigh"
"1",5000,-3.20376748333572,0.653528629061356,-1.32766795182292,0.482917837406333
"2",5100,-3.16998368533437,0.602336312700775,-1.31293775250772,0.487799138459489
"3",5200,-3.09526706979014,0.560424274139608,-1.33446940981516,0.489119723013921
"4",5300,-2.94282782020765,0.587133707326539,-1.36409213185201,0.501238655456635
"5",5400,-2.89660376227716,0.553591295165343,-1.35609109422475,0.508446132792551
"6",5500,-3.03285589018554,0.600196059243461,-1.60033172253212,0.424081850925861
"7",5600,-2.96571767128776,0.415088641520878,-1.64042016894791,0.428186174146833
"8",5700,-2.93730258689917,0.376184972428446,-1.6565017221722,0.433176205542208
"9",5800,-2.93730258689917,0.376184972428446,-1.6565017221722,0.433176205542208
"10",5900,-2.93730258689917,0.376184972428446,-1.6565017221722,0.433176205542208
"11",6000,-2.93730258689917,0.376184972428446,-1.6565017221722,0.433176205542208
"12",6100,-2.8838232557573,0.387246385382054,-1.65466197982712,0.430727270084107
"13",6200,-2.52649643333578,0.445674747500724,-1.60091960832071,0.437719058812883
"14",6300,-2.53611497463887,0.43491949857013,-1.56552536831399,0.430958485495854
"15",6400,-2.53611497463887,0.43491949857013,-1.56552536831399,0.430958485495854
"16",6500,-3.65673394330126,0.565542025453416,-1.29300441716301,0.479055211685292
"17",6600,-3.65673394330126,0.565542025453416,-1.29300441716301,0.479055211685292
"18",6700,-3.59367030555755,0.527492150042328,-1.32167515792802,0.4530432926315
"19",6800,-3.60531607104484,0.510045657572347,-1.36708486665625,0.470329723565791
"20",6900,-3.60531607104484,0.510045657572347,-1.36708486665625,0.470329723565791
"21",7000,-3.5554871085853,0.504507824152037,-1.35557857469081,0.477891692276775
"22",7100,-3.59246680115177,0.509759717659876,-1.37630033325111,0.484007574725321
"23",7200,-3.59246680115177,0.509759717659876,-1.37630033325111,0.484007574725321
"24",7300,-2.74195047530208,0.801775954705323,-1.20645331666571,0.496049610826073
