"","threshold","beta_poplow","se_poplow","beta_pophigh","se_pophigh"
"1",90000,-0.609737548894141,0.247636471102298,-0.373137718733704,0.121026992489694
"2",1e+05,-0.349438240067453,0.210244539197391,-0.341094897441336,0.154592098886019
"3",110000,-0.430403738663917,0.281901680148149,-0.312521078084477,0.117911331182534
"4",120000,-0.644285436419126,0.252772073412902,-0.247226770731737,0.115709224747613
"5",130000,-0.512124672023864,0.271633251915442,-0.317073361292331,0.113907794843562
"6",140000,-0.555968262169358,0.246895261319987,-0.263485225918905,0.113688841987581
"7",150000,-0.552320088304194,0.231738170898905,-0.288945020470794,0.117173762221053
"8",160000,-0.577644902773836,0.222161772118936,-0.256337415027413,0.117411253382227
"9",170000,-0.556783197969697,0.220179389998344,-0.26925588392407,0.118336853776904
"10",180000,-0.55458230166476,0.198935616983162,-0.256678612288792,0.121113200905847
"11",190000,-0.54895638824321,0.199277003709927,-0.267763662899108,0.126585337479233
"12",2e+05,-0.552403094525603,0.199087121547095,-0.26028144177327,0.126214397016165
"13",210000,-0.558139374533524,0.188326460190387,-0.256156718520544,0.127815830335934
"14",220000,-0.556569372146631,0.186344923968992,-0.255350363028765,0.129133428686066
"15",230000,-0.561533251567964,0.181602400658504,-0.263963640622098,0.129799420050233
"16",240000,-0.531515513770003,0.18147508103066,-0.284557061424588,0.128609917159624
"17",250000,-0.538559607400039,0.179080952675815,-0.266830967298583,0.131315976257396
"18",260000,-0.564800902169936,0.175169530124819,-0.241337359322411,0.13481542871639
"19",270000,-0.565015469944321,0.169939975800038,-0.208909272331699,0.138943259060692
"20",280000,-0.538565327698459,0.168435397852539,-0.232622642483786,0.0608515091045818
"21",290000,-0.566551432350972,0.164997168624024,-0.223556725639687,0.0628188067555143
"22",3e+05,-0.54656245615637,0.160135329334791,-0.202053106111276,0.0639945230781894
"23",310000,-0.550705907095472,0.159995414940112,-0.187020675993264,0.0647049606043887
"24",320000,-0.55248666732441,0.159111748277056,-0.190159256860635,0.0675531592863597
"25",330000,-0.526661062347822,0.158683030880839,-0.209452730870525,0.159394211012338
"26",340000,-0.526661062347822,0.158683030880839,-0.209452730870525,0.159394211012338
"27",350000,-0.518730267363308,0.155343727900195,-0.223079828220081,0.0704226737623307
"28",360000,-0.508599649269494,0.155184732355938,-0.213876750338736,0.164798138726956
"29",370000,-0.508599649269494,0.155184732355938,-0.213876750338736,0.164798138726956
"30",380000,-0.507339733442312,0.154789990893144,-0.215675739889761,0.0735920901735016
"31",390000,-0.541132299492518,0.153409309938551,-0.222187942902965,0.0719641043256217
"32",4e+05,-0.543896368831088,0.15349037719604,-0.223248281208741,0.0730052067845361
"33",410000,-0.53316754025363,0.1526268356736,-0.224579899221912,0.0735696914104171
"34",420000,-0.507705177604295,0.152715938065085,-0.228863045230346,0.0746199429811076
"35",430000,-0.507705177604295,0.152715938065085,-0.228863045230346,0.0746199429811076
"36",440000,-0.507705177604295,0.152715938065085,-0.228863045230346,0.0746199429811076
"37",450000,-0.508524999604205,0.152504294085506,-0.229787025830262,0.0749114462020597
"38",460000,-0.51921206123863,0.149752490838905,-0.225928120552657,0.0765572894554711
"39",470000,-0.51822037483353,0.148453114986034,-0.226275495098233,0.0767282429292251
