"intervention","effect","se_effect"
"School",-0.0252852172078367,0.0698226996767256
"Childcare",0.0372305044408158,0.0579942773662154
"Retail",0.100113516546295,0.0473289802520439
"Restaurant",-0.0492929349053065,0.042092588344726
"Bar",0.0464763972346161,0.0406284337893358
"Entertainment",-0.191566123330668,0.0915575233748729
"Culture",0.0807012439702808,0.0886739858410624
"Religion",0.0460488159899252,0.0582703293682567
"Sports indoor",-0.0819842228527936,0.0592562502570088
