MSA,pincom2019
"Kahului-Wailuku-Lahaina, HI","51,348"
"Kalamazoo-Portage, MI","49,493"
"Kankakee, IL","42,687"
"Kansas City, MO-KS","55,009"
"Kennewick-Richland, WA","46,231"
"Killeen-Temple, TX","42,855"
"Kingsport-Bristol, TN-VA","40,918"
"Kingston, NY","53,006"
"Knoxville, TN","47,550"
"Kokomo, IN","42,911"
"La Crosse-Onalaska, WI-MN","52,035"
"Lafayette, LA","44,512"
"Lafayette-West Lafayette, IN","40,164"
"Lake Charles, LA","49,642"
"Lake Havasu City-Kingman, AZ","34,393"
"Lakeland-Winter Haven, FL","36,649"
"Lancaster, PA","54,314"
"Lansing-East Lansing, MI","42,495"
"Laredo, TX","32,466"
"Las Cruces, NM","37,756"
"Las Vegas-Henderson-Paradise, NV","48,806"
"Lawrence, KS","45,163"
"Lawton, OK","42,692"
"Lebanon, PA","48,924"
"Lewiston, ID-WA","47,650"
"Lewiston-Auburn, ME","42,968"
"Lexington-Fayette, KY","49,606"
"Lima, OH","43,788"
"Lincoln, NE","50,833"
"Little Rock-North Little Rock-Conway, AR","46,560"
"Logan, UT-ID","41,370"
"Longview, TX","42,953"
"Longview, WA","46,503"
"Los Angeles-Long Beach-Anaheim, CA","66,684"
"Louisville/Jefferson County, KY-IN","52,134"
"Lubbock, TX","44,169"
"Lynchburg, VA","41,265"
"Macon-Bibb County, GA","42,191"
"Madera, CA","41,267"
"Madison, WI","62,087"
"Manchester-Nashua, NH","63,218"
"Manhattan, KS","47,072"
"Mankato, MN","48,219"
"Mansfield, OH","40,507"
"McAllen-Edinburg-Mission, TX","27,415"
"Medford, OR","48,291"
"Memphis, TN-MS-AR","47,985"
"Merced, CA","41,077"
"Miami-Fort Lauderdale-Pompano Beach, FL","60,966"
"Michigan City-La Porte, IN","43,910"
"Midland, MI","55,972"
"Midland, TX","128,766"
"Milwaukee-Waukesha, WI","58,457"
"Minneapolis-St. Paul-Bloomington, MN-WI","64,255"
"Missoula, MT","51,090"
"Mobile, AL","40,025"
"Modesto, CA","45,742"
"Monroe, LA","41,825"
"Monroe, MI","48,581"
"Montgomery, AL","44,870"
