MSA,gdp2017
"Joplin, MO","7,415"
"Kahului-Wailuku-Lahaina, HI","9,330"
"Kalamazoo-Portage, MI","17,086"
"Kankakee, IL","4,510"
"Kansas City, MO-KS","131,092"
"Kennewick-Richland, WA","13,868"
"Killeen-Temple, TX","17,556"
"Kingsport-Bristol-Bristol, TN-VA","11,967"
"Kingston, NY","6,255"
"Knoxville, TN","41,459"
"Kokomo, IN","4,624"
"La Crosse-Onalaska, WI-MN","7,508"
"Lafayette, LA","22,114"
"Lafayette-West Lafayette, IN","10,415"
"Lake Charles, LA","17,319"
"Lake Havasu City-Kingman, AZ","4,343"
"Lakeland-Winter Haven, FL","21,155"
"Lancaster, PA","28,938"
"Lansing-East Lansing, MI","22,562"
"Laredo, TX","8,285"
"Las Cruces, NM","7,227"
"Las Vegas-Henderson-Paradise, NV","112,288"
"Lawrence, KS","4,558"
"Lawton, OK","5,155"
"Lebanon, PA","5,155"
"Lewiston, ID-WA","2,512"
"Lewiston-Auburn, ME","4,214"
"Lexington-Fayette, KY","29,960"
"Lima, OH","5,718"
"Lincoln, NE","20,246"
"Little Rock-North Little Rock-Conway, AR","38,874"
"Logan, UT-ID","5,141"
"Longview, TX","10,234"
"Longview, WA","4,477"
"Los Angeles-Long Beach-Anaheim, CA","1,043,735"
"Louisville/Jefferson County, KY-IN","76,063"
"Lubbock, TX","13,880"
"Lynchburg, VA","9,873"
"Macon, GA","9,811"
"Madera, CA","5,550"
"Madison, WI","49,853"
"Manchester-Nashua, NH","28,443"
"Manhattan, KS","3,822"
"Mankato-North Mankato, MN","5,320"
"Mansfield, OH","4,470"
"McAllen-Edinburg-Mission, TX","20,405"
"Medford, OR","8,590"
"Memphis, TN-MS-AR","72,503"
"Merced, CA","8,625"
"Miami-Fort Lauderdale-West Palm Beach, FL","344,882"
"Michigan City-La Porte, IN","4,015"
"Midland, MI","6,355"
"Midland, TX","27,819"
"Milwaukee-Waukesha-West Allis, WI","105,427"
"Minneapolis-St. Paul-Bloomington, MN-WI","260,106"
"Missoula, MT","5,615"
"Mobile, AL","19,407"
"Modesto, CA","20,659"
"Monroe, LA","8,028"
"Monroe, MI","5,049"
"Montgomery, AL","17,557"
