2020rank,City,State[c],2020estimate,2010census,Change,2016 land area,2016 land area,2016 population density,2016 population density,Location
149,Oceanside,California,"174,648","167,086",+4.53%,41.3 sq mi,107.0 km2,"4,249/sq mi","1,641/km2",33°13′N 117°18′W﻿ / ﻿33.22°N 117.30°W
150,Santa Rosa,California,"174,613","167,815",+4.05%,41.3 sq mi,107.0 km2,"4,241/sq mi","1,637/km2",38°26′N 122°42′W﻿ / ﻿38.44°N 122.70°W
151,Pembroke Pines,Florida,"174,414","154,019",+13.24%,33.0 sq mi,85.5 km2,"5,109/sq mi","1,973/km2",26°01′N 80°20′W﻿ / ﻿26.02°N 80.34°W
152,Cary[v],North Carolina,"173,587","135,234",+28.36%,56.5 sq mi,146.3 km2,"2,873/sq mi","1,109/km2",35°47′N 78°49′W﻿ / ﻿35.78°N 78.81°W
153,Eugene,Oregon,"173,236","156,185",+10.92%,44.1 sq mi,114.2 km2,"3,777/sq mi","1,458/km2",44°03′N 123°07′W﻿ / ﻿44.05°N 123.11°W
154,Garden Grove,California,"171,366","170,883",+0.28%,18.0 sq mi,46.6 km2,"9,714/sq mi","3,751/km2",33°46′N 117°58′W﻿ / ﻿33.77°N 117.96°W
155,Corona,California,"170,996","152,374",+12.22%,39.5 sq mi,102.3 km2,"4,222/sq mi","1,630/km2",33°52′N 117°34′W﻿ / ﻿33.86°N 117.56°W
156,Fort Collins,Colorado,"168,234","143,986",+16.84%,55.8 sq mi,144.5 km2,"2,943/sq mi","1,136/km2",40°32′N 105°04′W﻿ / ﻿40.54°N 105.06°W
157,Springfield,Missouri,"168,090","159,498",+5.39%,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2,37°11′N 93°17′W﻿ / ﻿37.19°N 93.29°W
158,Clarksville,Tennessee,"161,247","132,929",+21.30%,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2,36°34′N 87°20′W﻿ / ﻿36.56°N 87.34°W
159,Alexandria[m],Virginia,"158,726","139,966",+13.40%,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2",38°49′N 77°05′W﻿ / ﻿38.82°N 77.08°W
160,Hayward,California,"157,966","144,186",+9.56%,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2",37°37′N 122°06′W﻿ / ﻿37.62°N 122.10°W
161,Jackson,Mississippi,"157,821","173,514",−9.04%,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2,32°19′N 90°13′W﻿ / ﻿32.31°N 90.21°W
162,Lakewood,Colorado,"157,429","142,980",+10.11%,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2",39°41′N 105°07′W﻿ / ﻿39.69°N 105.11°W
163,Lancaster,California,"155,822","156,633",−0.52%,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2,34°41′N 118°10′W﻿ / ﻿34.69°N 118.17°W
164,Salinas,California,"154,868","150,441",+2.94%,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2",36°41′N 121°38′W﻿ / ﻿36.69°N 121.63°W
165,Hollywood,Florida,"154,611","140,768",+9.83%,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2",26°02′N 80°10′W﻿ / ﻿26.03°N 80.16°W
166,Killeen,Texas,"153,991","127,921",+20.38%,53.5 sq mi,138.6 km2,"2,680/sq mi","1,030/km2",31°04′N 97°44′W﻿ / ﻿31.07°N 97.73°W
167,Macon[w],Georgia,"152,737","91,351",+67.20%,249.3 sq mi,645.7 km2,612/sq mi,236/km2,32°48′N 83°41′W﻿ / ﻿32.80°N 83.69°W
168,Kansas City[x],Kansas,"152,727","145,786",+4.76%,124.8 sq mi,323.2 km2,"1,216/sq mi",470/km2,39°07′N 94°44′W﻿ / ﻿39.12°N 94.74°W
169,Springfield,Massachusetts,"152,646","153,060",−0.27%,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2",42°07′N 72°32′W﻿ / ﻿42.11°N 72.54°W
170,Sunnyvale,California,"151,746","140,081",+8.33%,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2",37°23′N 122°01′W﻿ / ﻿37.38°N 122.02°W
171,Murfreesboro,Tennessee,"150,757","108,755",+38.62%,55.9 sq mi,144.8 km2,"2,360/sq mi",910/km2,35°51′N 86°25′W﻿ / ﻿35.85°N 86.41°W
172,Palmdale,California,"150,498","152,750",−1.47%,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2,34°35′N 118°06′W﻿ / ﻿34.59°N 118.10°W
173,Escondido,California,"149,943","143,911",+4.19%,37.1 sq mi,96.1 km2,"4,087/sq mi","1,578/km2",33°08′N 117°04′W﻿ / ﻿33.13°N 117.07°W
174,Pasadena,Texas,"149,440","149,043",+0.27%,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2",29°39′N 95°09′W﻿ / ﻿29.65°N 95.15°W
175,Pomona,California,"149,212","149,058",+0.10%,23.0 sq mi,59.6 km2,"6,630/sq mi","2,560/km2",34°03′N 117°46′W﻿ / ﻿34.05°N 117.76°W
176,Thornton,Colorado,"148,113","118,772",+24.70%,35.7 sq mi,92.5 km2,"3,829/sq mi","1,478/km2",39°55′N 104°56′W﻿ / ﻿39.91°N 104.94°W
177,Bellevue,Washington,"148,073","122,363",+21.01%,33.5 sq mi,86.8 km2,"4,221/sq mi","1,630/km2",47°35′N 122°09′W﻿ / ﻿47.59°N 122.15°W
178,Naperville,Illinois,"147,986","141,853",+4.32%,38.7 sq mi,100.2 km2,"3,802/sq mi","1,468/km2",41°44′N 88°10′W﻿ / ﻿41.74°N 88.16°W
179,Surprise,Arizona,"147,965","117,517",+25.91%,107.9 sq mi,279.5 km2,"1,230/sq mi",470/km2,33°40′N 112°27′W﻿ / ﻿33.67°N 112.45°W
180,Denton,Texas,"147,515","113,383",+30.10%,93.4 sq mi,241.9 km2,"1,433/sq mi",553/km2,33°13′N 97°08′W﻿ / ﻿33.21°N 97.14°W
181,Midland,Texas,"147,069","111,147",+32.32%,74.4 sq mi,192.7 km2,"1,809/sq mi",698/km2,32°01′N 102°07′W﻿ / ﻿32.02°N 102.11°W
182,Joliet,Illinois,"146,673","147,433",−0.52%,64.4 sq mi,166.8 km2,"2,302/sq mi",889/km2,41°31′N 88°08′W﻿ / ﻿41.51°N 88.14°W
183,Rockford,Illinois,"144,835","152,871",−5.26%,63.5 sq mi,164.5 km2,"2,325/sq mi",898/km2,42°15′N 89°04′W﻿ / ﻿42.25°N 89.06°W
184,Paterson,New Jersey,"144,801","146,199",−0.96%,8.4 sq mi,21.8 km2,"17,500/sq mi","6,800/km2",40°55′N 74°10′W﻿ / ﻿40.91°N 74.16°W
185,Roseville,California,"144,725","118,788",+21.83%,43.0 sq mi,111.4 km2,"3,085/sq mi","1,191/km2",38°46′N 121°19′W﻿ / ﻿38.76°N 121.31°W
186,McAllen,Texas,"143,751","129,877",+10.68%,58.4 sq mi,151.3 km2,"2,435/sq mi",940/km2,26°14′N 98°14′W﻿ / ﻿26.23°N 98.24°W
187,Savannah,Georgia,"143,632","136,286",+5.39%,103.6 sq mi,268.3 km2,"1,417/sq mi",547/km2,32°00′N 81°09′W﻿ / ﻿32.00°N 81.15°W
188,Bridgeport,Connecticut,"143,525","144,229",−0.49%,16.1 sq mi,41.7 km2,"9,064/sq mi","3,500/km2",41°11′N 73°11′W﻿ / ﻿41.18°N 73.19°W
189,Olathe,Kansas,"141,665","125,872",+12.55%,60.9 sq mi,157.7 km2,"2,225/sq mi",859/km2,38°53′N 94°49′W﻿ / ﻿38.88°N 94.81°W
190,Torrance,California,"141,553","145,438",−2.67%,20.5 sq mi,53.1 km2,"7,180/sq mi","2,770/km2",33°50′N 118°20′W﻿ / ﻿33.83°N 118.34°W
191,Waco,Texas,"141,377","124,805",+13.28%,89.0 sq mi,230.5 km2,"1,510/sq mi",580/km2,31°34′N 97°11′W﻿ / ﻿31.56°N 97.18°W
192,Syracuse,New York,"141,229","145,170",−2.71%,25.0 sq mi,64.7 km2,"5,735/sq mi","2,214/km2",43°02′N 76°08′W﻿ / ﻿43.04°N 76.14°W
193,Miramar,Florida,"141,150","122,041",+15.66%,29.4 sq mi,76.1 km2,"4,709/sq mi","1,818/km2",25°58′N 80°20′W﻿ / ﻿25.97°N 80.33°W
194,Pasadena,California,"141,045","137,122",+2.86%,23.0 sq mi,59.6 km2,"6,176/sq mi","2,385/km2",34°10′N 118°08′W﻿ / ﻿34.16°N 118.13°W
195,Fullerton,California,"139,921","135,161",+3.52%,22.4 sq mi,58.0 km2,"6,282/sq mi","2,425/km2",33°53′N 117°55′W﻿ / ﻿33.88°N 117.92°W
196,Dayton,Ohio,"139,907","141,527",−1.14%,55.7 sq mi,144.3 km2,"2,522/sq mi",974/km2,39°46′N 84°11′W﻿ / ﻿39.77°N 84.19°W
197,Carrollton,Texas,"139,892","119,097",+17.46%,36.3 sq mi,94.0 km2,"3,674/sq mi","1,419/km2",32°59′N 96°53′W﻿ / ﻿32.98°N 96.89°W
198,Charleston,South Carolina,"139,892","120,083",+16.50%,109.0 sq mi,282.3 km2,"1,233/sq mi",476/km2,32°49′N 79°57′W﻿ / ﻿32.81°N 79.95°W
199,Mesquite,Texas,"138,916","139,824",−0.65%,47.2 sq mi,122.2 km2,"3,045/sq mi","1,176/km2",32°46′N 96°35′W﻿ / ﻿32.76°N 96.58°W
200,Orange,California,"138,192","136,416",+1.30%,25.4 sq mi,65.8 km2,"5,532/sq mi","2,136/km2",33°47′N 117°52′W﻿ / ﻿33.78°N 117.86°W
201,Round Rock,Texas,"137,575","99,887",+37.73%,35.6 sq mi,92.2 km2,"3,396/sq mi","1,311/km2",30°31′N 97°40′W﻿ / ﻿30.52°N 97.66°W
202,Hampton[m],Virginia,"135,464","137,436",−1.43%,51.5 sq mi,133.4 km2,"2,629/sq mi","1,015/km2",37°02′N 76°17′W﻿ / ﻿37.04°N 76.29°W
203,Visalia,California,"135,007","124,442",+8.49%,37.5 sq mi,97.1 km2,"3,495/sq mi","1,349/km2",36°19′N 119°19′W﻿ / ﻿36.32°N 119.32°W
204,Gainesville,Florida,"135,004","124,354",+8.56%,62.3 sq mi,161.4 km2,"2,112/sq mi",815/km2,29°40′N 82°20′W﻿ / ﻿29.67°N 82.34°W
205,Cedar Rapids,Iowa,"134,027","126,326",+6.10%,70.8 sq mi,183.4 km2,"1,852/sq mi",715/km2,41°58′N 91°40′W﻿ / ﻿41.96°N 91.67°W
206,West Valley City,Utah,"133,894","129,480",+3.41%,35.5 sq mi,91.9 km2,"3,847/sq mi","1,485/km2",40°41′N 112°01′W﻿ / ﻿40.68°N 112.01°W
207,Coral Springs,Florida,"133,519","121,096",+10.26%,23.8 sq mi,61.6 km2,"5,465/sq mi","2,110/km2",26°16′N 80°15′W﻿ / ﻿26.27°N 80.25°W
208,Warren,Michigan,"132,877","134,056",−0.88%,34.4 sq mi,89.1 km2,"3,928/sq mi","1,517/km2",42°29′N 83°01′W﻿ / ﻿42.49°N 83.02°W
209,Columbia,South Carolina,"132,130","129,272",+2.21%,133.5 sq mi,345.8 km2,"1,006/sq mi",388/km2,34°01′N 80°53′W﻿ / ﻿34.02°N 80.89°W
210,Sterling Heights,Michigan,"131,709","129,699",+1.55%,36.5 sq mi,94.5 km2,"3,628/sq mi","1,401/km2",42°35′N 83°02′W﻿ / ﻿42.58°N 83.03°W
211,Stamford,Connecticut,"131,397","122,643",+7.14%,37.6 sq mi,97.4 km2,"3,434/sq mi","1,326/km2",41°04′N 73°32′W﻿ / ﻿41.07°N 73.54°W
212,Santa Clara,California,"131,055","116,468",+12.52%,18.4 sq mi,47.7 km2,"6,845/sq mi","2,643/km2",37°22′N 121°58′W﻿ / ﻿37.36°N 121.96°W
213,New Haven,Connecticut,"130,801","129,779",+0.79%,18.7 sq mi,48.4 km2,"6,948/sq mi","2,683/km2",41°19′N 72°55′W﻿ / ﻿41.31°N 72.92°W
214,Kent,Washington,"130,676","92,411",+41.41%,33.7 sq mi,87.3 km2,"3,784/sq mi","1,461/km2",47°23′N 122°13′W﻿ / ﻿47.38°N 122.21°W
215,Concord,California,"128,544","122,067",+5.31%,30.5 sq mi,79.0 km2,"4,221/sq mi","1,630/km2",37°58′N 122°00′W﻿ / ﻿37.97°N 122.00°W
216,Elizabeth,New Jersey,"128,382","124,969",+2.73%,12.3 sq mi,31.9 km2,"10,459/sq mi","4,038/km2",40°40′N 74°11′W﻿ / ﻿40.66°N 74.19°W
217,Lafayette[y],Louisiana,"126,535","120,623",+4.90%,53.8 sq mi,139.3 km2,"2,372/sq mi",916/km2,30°12′N 92°01′W﻿ / ﻿30.20°N 92.02°W
218,Athens[z],Georgia,"126,391","115,452",+9.47%,116.4 sq mi,301.5 km2,"1,060/sq mi",410/km2,33°56′N 83°22′W﻿ / ﻿33.94°N 83.37°W
219,Thousand Oaks,California,"126,310","126,683",−0.29%,55.2 sq mi,143.0 km2,"2,335/sq mi",902/km2,34°11′N 118°52′W﻿ / ﻿34.19°N 118.87°W
220,Norman,Oklahoma,"125,762","110,925",+13.38%,178.8 sq mi,463.1 km2,683/sq mi,264/km2,35°14′N 97°20′W﻿ / ﻿35.24°N 97.34°W
221,Odessa,Texas,"125,413","99,940",+25.49%,45.2 sq mi,117.1 km2,"2,608/sq mi","1,007/km2",31°53′N 102°20′W﻿ / ﻿31.88°N 102.34°W
222,Fargo,North Dakota,"125,209","105,549",+18.63%,49.3 sq mi,127.7 km2,"2,450/sq mi",950/km2,46°52′N 96°49′W﻿ / ﻿46.86°N 96.82°W
223,Simi Valley,California,"125,168","124,237",+0.75%,41.5 sq mi,107.5 km2,"3,044/sq mi","1,175/km2",34°16′N 118°44′W﻿ / ﻿34.26°N 118.74°W
224,Victorville,California,"124,982","115,903",+7.83%,73.3 sq mi,189.8 km2,"1,668/sq mi",644/km2,34°31′N 117°21′W﻿ / ﻿34.52°N 117.35°W
225,Wilmington,North Carolina,"124,794","106,476",+17.20%,51.6 sq mi,133.6 km2,"2,278/sq mi",880/km2,34°12′N 77°53′W﻿ / ﻿34.20°N 77.88°W
226,Columbia,Missouri,"124,769","108,500",+14.99%,65.0 sq mi,168.3 km2,"1,856/sq mi",717/km2,38°57′N 92°19′W﻿ / ﻿38.95°N 92.32°W
227,Topeka,Kansas,"124,558","127,473",−2.29%,61.5 sq mi,159.3 km2,"2,062/sq mi",796/km2,39°02′N 95°41′W﻿ / ﻿39.03°N 95.69°W
228,Abilene,Texas,"124,407","117,063",+6.27%,106.7 sq mi,276.4 km2,"1,146/sq mi",442/km2,32°27′N 99°44′W﻿ / ﻿32.45°N 99.73°W
229,Pearland,Texas,"123,562","91,252",+35.41%,46.3 sq mi,119.9 km2,"2,453/sq mi",947/km2,29°33′N 95°19′W﻿ / ﻿29.55°N 95.32°W
230,Berkeley,California,"122,726","112,580",+9.01%,10.5 sq mi,27.2 km2,"11,547/sq mi","4,458/km2",37°52′N 122°17′W﻿ / ﻿37.86°N 122.29°W
231,Arvada,Colorado,"121,936","106,433",+14.57%,38.6 sq mi,100.0 km2,"3,043/sq mi","1,175/km2",39°50′N 105°09′W﻿ / ﻿39.83°N 105.15°W
232,Hartford,Connecticut,"121,535","124,775",−2.60%,17.4 sq mi,45.1 km2,"7,083/sq mi","2,735/km2",41°46′N 72°41′W﻿ / ﻿41.76°N 72.68°W
233,Allentown,Pennsylvania,"121,470","118,032",+2.91%,17.5 sq mi,45.3 km2,"6,882/sq mi","2,657/km2",40°35′N 75°28′W﻿ / ﻿40.59°N 75.47°W
234,Meridian,Idaho,"121,182","75,092",+61.38%,29.8 sq mi,77.2 km2,"3,584/sq mi","1,384/km2",43°37′N 116°23′W﻿ / ﻿43.61°N 116.39°W
235,Richardson,Texas,"121,112","99,223",+22.06%,28.6 sq mi,74.1 km2,"3,963/sq mi","1,530/km2",32°58′N 96°42′W﻿ / ﻿32.97°N 96.70°W
236,Vallejo,California,"120,747","115,942",+4.14%,30.7 sq mi,79.5 km2,"3,951/sq mi","1,525/km2",38°06′N 122°16′W﻿ / ﻿38.10°N 122.26°W
237,Rochester,Minnesota,"119,862","106,769",+12.26%,54.6 sq mi,141.4 km2,"2,088/sq mi",806/km2,44°01′N 92°28′W﻿ / ﻿44.01°N 92.47°W
238,Ann Arbor,Michigan,"119,280","113,934",+4.69%,28.1 sq mi,72.8 km2,"4,298/sq mi","1,659/km2",42°16′N 83°44′W﻿ / ﻿42.27°N 83.73°W
239,College Station,Texas,"119,260","93,857",+27.07%,51.0 sq mi,132.1 km2,"2,199/sq mi",849/km2,30°35′N 96°17′W﻿ / ﻿30.58°N 96.29°W
240,Cambridge,Massachusetts,"119,192","105,162",+13.34%,6.4 sq mi,16.6 km2,"17,289/sq mi","6,675/km2",42°22′N 71°07′W﻿ / ﻿42.37°N 71.11°W
241,North Charleston,South Carolina,"118,752","97,471",+21.83%,73.7 sq mi,190.9 km2,"1,483/sq mi",573/km2,32°55′N 80°04′W﻿ / ﻿32.91°N 80.06°W
242,Evansville,Indiana,"118,407","117,429",+0.83%,47.3 sq mi,122.5 km2,"2,526/sq mi",975/km2,37°59′N 87°32′W﻿ / ﻿37.98°N 87.53°W
243,Sugar Land,Texas,"117,875","78,817",+49.56%,34.0 sq mi,88.1 km2,"3,488/sq mi","1,347/km2",29°35′N 95°37′W﻿ / ﻿29.59°N 95.61°W
244,Clovis,California,"117,662","95,631",+23.04%,24.2 sq mi,62.7 km2,"4,404/sq mi","1,700/km2",36°49′N 119°41′W﻿ / ﻿36.82°N 119.68°W
245,Fairfield,California,"117,580","105,321",+11.64%,40.9 sq mi,105.9 km2,"2,806/sq mi","1,083/km2",38°15′N 122°02′W﻿ / ﻿38.25°N 122.03°W
246,Lansing,Michigan,"117,540","114,297",+2.84%,39.1 sq mi,101.3 km2,"2,967/sq mi","1,146/km2",42°43′N 84°33′W﻿ / ﻿42.71°N 84.55°W
247,Palm Bay,Florida,"116,932","103,190",+13.32%,65.7 sq mi,170.2 km2,"1,676/sq mi",647/km2,27°59′N 80°40′W﻿ / ﻿27.98°N 80.66°W
248,Independence,Missouri,"116,774","116,830",−0.05%,77.8 sq mi,201.5 km2,"1,504/sq mi",581/km2,39°05′N 94°21′W﻿ / ﻿39.08°N 94.35°W
249,Clearwater,Florida,"116,552","107,685",+8.23%,25.9 sq mi,67.1 km2,"4,415/sq mi","1,705/km2",27°58′N 82°46′W﻿ / ﻿27.97°N 82.76°W
250,West Jordan,Utah,"116,530","103,712",+12.36%,32.3 sq mi,83.7 km2,"3,520/sq mi","1,360/km2",40°36′N 112°00′W﻿ / ﻿40.60°N 112.00°W
251,Murrieta,California,"116,522","103,466",+12.62%,33.6 sq mi,87.0 km2,"3,324/sq mi","1,283/km2",33°34′N 117°11′W﻿ / ﻿33.57°N 117.19°W
252,Provo,Utah,"116,295","112,488",+3.38%,41.7 sq mi,108.0 km2,"2,803/sq mi","1,082/km2",40°14′N 111°38′W﻿ / ﻿40.24°N 111.64°W
253,Carlsbad,California,"115,599","105,328",+9.75%,37.7 sq mi,97.6 km2,"3,023/sq mi","1,167/km2",33°07′N 117°17′W﻿ / ﻿33.12°N 117.28°W
254,Beaumont,Texas,"115,473","118,296",−2.39%,82.1 sq mi,212.6 km2,"1,441/sq mi",556/km2,30°05′N 94°08′W﻿ / ﻿30.08°N 94.14°W
255,Lakeland,Florida,"115,283","97,422",+18.33%,65.9 sq mi,170.7 km2,"1,615/sq mi",624/km2,28°03′N 81°57′W﻿ / ﻿28.05°N 81.95°W
256,Westminster,Colorado,"115,046","106,114",+8.42%,31.7 sq mi,82.1 km2,"3,592/sq mi","1,387/km2",39°53′N 105°04′W﻿ / ﻿39.88°N 105.06°W
257,Temecula,California,"113,878","100,097",+13.77%,37.3 sq mi,96.6 km2,"3,031/sq mi","1,170/km2",33°29′N 117°08′W﻿ / ﻿33.49°N 117.13°W
258,Springfield,Illinois,"113,671","116,250",−2.22%,60.1 sq mi,155.7 km2,"1,925/sq mi",743/km2,39°47′N 89°38′W﻿ / ﻿39.79°N 89.64°W
259,High Point,North Carolina,"113,565","104,371",+8.81%,55.2 sq mi,143.0 km2,"2,015/sq mi",778/km2,35°59′N 79°59′W﻿ / ﻿35.99°N 79.99°W
260,West Palm Beach,Florida,"112,782","99,919",+12.87%,55.1 sq mi,142.7 km2,"1,963/sq mi",758/km2,26°44′N 80°07′W﻿ / ﻿26.74°N 80.12°W
261,Pueblo,Colorado,"112,751","106,595",+5.78%,53.6 sq mi,138.8 km2,"2,058/sq mi",795/km2,38°16′N 104°37′W﻿ / ﻿38.26°N 104.61°W
262,Manchester,New Hampshire,"112,546","109,565",+2.72%,33.1 sq mi,85.7 km2,"3,339/sq mi","1,289/km2",42°59′N 71°26′W﻿ / ﻿42.98°N 71.44°W
263,Everett,Washington,"112,482","103,019",+9.19%,33.3 sq mi,86.2 km2,"3,275/sq mi","1,264/km2",47°57′N 122°11′W﻿ / ﻿47.95°N 122.19°W
264,Costa Mesa,California,"112,366","109,960",+2.19%,15.7 sq mi,40.7 km2,"7,186/sq mi","2,775/km2",33°40′N 117°55′W﻿ / ﻿33.66°N 117.91°W
265,Pompano Beach,Florida,"112,360","99,845",+12.53%,24.0 sq mi,62.2 km2,"4,558/sq mi","1,760/km2",26°14′N 80°08′W﻿ / ﻿26.24°N 80.13°W
266,El Monte,California,"112,344","113,475",−1.00%,9.6 sq mi,24.9 km2,"12,063/sq mi","4,658/km2",34°04′N 118°01′W﻿ / ﻿34.07°N 118.02°W
267,Lewisville,Texas,"112,232","95,290",+17.78%,36.7 sq mi,95.1 km2,"2,852/sq mi","1,101/km2",33°02′N 96°59′W﻿ / ﻿33.04°N 96.98°W
268,Broken Arrow,Oklahoma,"111,648","98,850",+12.95%,61.7 sq mi,159.8 km2,"1,741/sq mi",672/km2,36°02′N 95°47′W﻿ / ﻿36.03°N 95.78°W
269,Antioch,California,"111,605","102,372",+9.02%,29.4 sq mi,76.1 km2,"3,772/sq mi","1,456/km2",37°58′N 121°47′W﻿ / ﻿37.97°N 121.79°W
270,Hillsboro,Oregon,"110,985","91,611",+21.15%,25.0 sq mi,64.7 km2,"4,207/sq mi","1,624/km2",45°31′N 122°56′W﻿ / ﻿45.52°N 122.93°W
271,Lowell,Massachusetts,"110,904","106,519",+4.12%,13.6 sq mi,35.2 km2,"8,129/sq mi","3,139/km2",42°38′N 71°19′W﻿ / ﻿42.63°N 71.32°W
272,Elgin,Illinois,"110,196","108,188",+1.86%,37.4 sq mi,96.9 km2,"2,998/sq mi","1,158/km2",42°02′N 88°19′W﻿ / ﻿42.03°N 88.32°W
273,Centennial,Colorado,"110,156","100,377",+9.74%,29.5 sq mi,76.4 km2,"3,727/sq mi","1,439/km2",39°35′N 104°52′W﻿ / ﻿39.59°N 104.86°W
274,Richmond,California,"110,038","103,701",+6.11%,30.1 sq mi,78.0 km2,"3,648/sq mi","1,409/km2",37°57′N 122°22′W﻿ / ﻿37.95°N 122.36°W
275,Gresham,Oregon,"110,031","105,594",+4.20%,23.3 sq mi,60.3 km2,"4,786/sq mi","1,848/km2",45°30′N 122°26′W﻿ / ﻿45.50°N 122.44°W
276,Sandy Springs,Georgia,"109,928","93,853",+17.13%,37.7 sq mi,97.6 km2,"2,804/sq mi","1,083/km2",33°56′N 84°22′W﻿ / ﻿33.93°N 84.36°W
277,Jurupa Valley,California,"109,745",0,NA[aa],42.9 sq mi,111.1 km2,"2,414/sq mi",932/km2,34°00′N 117°28′W﻿ / ﻿34.00°N 117.46°W
278,Billings,Montana,"109,736","104,170",+5.34%,43.7 sq mi,113.2 km2,"2,525/sq mi",975/km2,45°47′N 108°32′W﻿ / ﻿45.78°N 108.54°W
279,Peoria,Illinois,"109,428","115,007",−4.85%,48.2 sq mi,124.8 km2,"2,371/sq mi",915/km2,40°45′N 89°37′W﻿ / ﻿40.75°N 89.61°W
280,Allen,Texas,"109,379","84,246",+29.83%,27.1 sq mi,70.2 km2,"3,715/sq mi","1,434/km2",33°05′N 96°40′W﻿ / ﻿33.09°N 96.66°W
281,Downey,California,"109,202","111,772",−2.30%,12.4 sq mi,32.1 km2,"9,134/sq mi","3,527/km2",33°56′N 118°08′W﻿ / ﻿33.93°N 118.13°W
282,Miami Gardens,Florida,"109,131","107,167",+1.83%,18.2 sq mi,47.1 km2,"6,212/sq mi","2,398/km2",25°56′N 80°14′W﻿ / ﻿25.94°N 80.24°W
283,Greeley,Colorado,"108,958","92,889",+17.30%,47.8 sq mi,123.8 km2,"2,176/sq mi",840/km2,40°25′N 104°46′W﻿ / ﻿40.41°N 104.76°W
284,League City,Texas,"108,477","83,560",+29.82%,51.2 sq mi,132.6 km2,"1,992/sq mi",769/km2,29°29′N 95°06′W﻿ / ﻿29.49°N 95.10°W
285,Tyler,Texas,"108,222","96,900",+11.68%,56.6 sq mi,146.6 km2,"1,852/sq mi",715/km2,32°19′N 95°18′W﻿ / ﻿32.31°N 95.30°W
286,Boulder,Colorado,"107,645","97,385",+10.54%,24.8 sq mi,64.2 km2,"4,358/sq mi","1,683/km2",40°01′N 105°15′W﻿ / ﻿40.02°N 105.25°W
287,Inglewood,California,"107,203","109,673",−2.25%,9.1 sq mi,23.6 km2,"12,160/sq mi","4,700/km2",33°57′N 118°20′W﻿ / ﻿33.95°N 118.34°W
288,Ventura[ab],California,"107,110","106,433",+0.64%,21.8 sq mi,56.5 km2,"5,027/sq mi","1,941/km2",34°16′N 119°15′W﻿ / ﻿34.26°N 119.25°W
289,Sparks,Nevada,"106,900","90,264",+18.43%,35.9 sq mi,93.0 km2,"2,810/sq mi","1,080/km2",39°33′N 119°44′W﻿ / ﻿39.55°N 119.73°W
290,Waterbury,Connecticut,"106,621","110,366",−3.39%,28.5 sq mi,73.8 km2,"3,799/sq mi","1,467/km2",41°33′N 73°02′W﻿ / ﻿41.55°N 73.03°W
291,Davie[ac],Florida,"106,306","91,992",+15.56%,34.9 sq mi,90.4 km2,"2,919/sq mi","1,127/km2",26°04′N 80°17′W﻿ / ﻿26.07°N 80.28°W
292,Daly City,California,"105,868","101,123",+4.69%,7.6 sq mi,19.7 km2,"14,009/sq mi","5,409/km2",37°42′N 122°28′W﻿ / ﻿37.70°N 122.46°W
293,Santa Maria,California,"105,851","99,553",+6.33%,22.8 sq mi,59.1 km2,"4,662/sq mi","1,800/km2",34°56′N 120°26′W﻿ / ﻿34.93°N 120.44°W
294,Wichita Falls,Texas,"105,405","104,553",+0.81%,72.2 sq mi,187.0 km2,"1,450/sq mi",560/km2,33°54′N 98°31′W﻿ / ﻿33.90°N 98.52°W
295,Las Cruces,New Mexico,"105,096","97,618",+7.66%,76.9 sq mi,199.2 km2,"1,323/sq mi",511/km2,32°19′N 106°47′W﻿ / ﻿32.32°N 106.78°W
296,Rialto,California,"104,132","99,171",+5.00%,22.3 sq mi,57.8 km2,"4,633/sq mi","1,789/km2",34°07′N 117°23′W﻿ / ﻿34.11°N 117.38°W
297,Green Bay,Wisconsin,"103,836","104,057",−0.21%,45.4 sq mi,117.6 km2,"2,316/sq mi",894/km2,44°31′N 87°59′W﻿ / ﻿44.52°N 87.98°W
298,West Covina,California,"103,656","106,098",−2.30%,16.0 sq mi,41.4 km2,"6,740/sq mi","2,600/km2",34°03′N 117°54′W﻿ / ﻿34.05°N 117.90°W
299,Nampa,Idaho,"103,215","81,557",+26.56%,33.0 sq mi,85.5 km2,"3,025/sq mi","1,168/km2",43°34′N 116°34′W﻿ / ﻿43.57°N 116.56°W
300,Spokane Valley,Washington,"102,893","89,755",+14.64%,37.7 sq mi,97.6 km2,"2,681/sq mi","1,035/km2",47°40′N 117°14′W﻿ / ﻿47.67°N 117.23°W
301,Chico,California,"102,867","86,187",+19.35%,33.3 sq mi,86.2 km2,"3,102/sq mi","1,198/km2",39°44′N 121°50′W﻿ / ﻿39.74°N 121.83°W
