"","combine","coefficient","se","t","number"
"247","win7_childcare_close+win7_shop_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.00902868399145396,0.0762121195659294,-0.118467824315573,6
"248","win7_school_close+win7_childcare_close+win7_shop_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.0343139011992907,0.0980136851216957,-0.350092960556333,7
"249","win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.195665639883871,0.048110389509666,-4.06701425363765,5
"250","win7_school_close+win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.220950857091708,0.082281423762897,-2.68530668268942,6
"251","win7_childcare_close+win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.158435135443055,0.0757943110956147,-2.09033017323937,6
"252","win7_school_close+win7_childcare_close+win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.183720352650892,0.0857631654139592,-2.14218250648884,7
"253","win7_shop_close+win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.0955521233375762,0.0581647540443195,-1.6427839317393,6
"254","win7_school_close+win7_shop_close+win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.120837340545413,0.0957780635116453,-1.26163900286751,7
"255","win7_childcare_close+win7_shop_close+win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.0583216188967604,0.0626753020457403,-0.93053590478427,7
"256","win7_school_close+win7_childcare_close+win7_shop_close+win7_restaurant_close+win7_bar_close+win7_entertainment_close+win7_cultural_close+win7_sports_indoor_close",-0.0836068361045971,0.0829060441295749,-1.00845284541531,8
