CBSA_code,MSA,Median,Under18,y18to24,y25to34,y35to44,y45to54,y55to64,y65to74,y75,,,,,,,,,
13980,"Blacksburg-Christiansburg-Radford, VA",31.1,"27,806 ","40,887 ","19,257 ","18,471 ","18,945 ","17,635 ","11,166 ","8,791 ",,,,,,,,,
14020,"Bloomington, IN",31.0,"35,365 ","44,012 ","25,862 ","20,891 ","23,507 ","20,521 ","12,219 ","10,337 ",,,,,,,,,
14060,"Bloomington-Normal, IL",32.1,"38,412 ","29,378 ","23,471 ","20,945 ","22,608 ","17,418 ","9,015 ","8,325 ",,,,,,,,,
14260,"Boise City-Nampa, ID",34.1,"172,174 ","55,932 ","87,311 ","84,213 ","82,857 ","66,793 ","37,843 ","29,438 ",,,,,,,,,
14460,"Boston-Cambridge-Quincy, MA-NH",38.5,"983,268 ","472,800 ","619,747 ","628,670 ","705,655 ","546,219 ","306,169 ","289,874 ",,,,,,,,,
14500,"Boulder, CO",35.8,"62,754 ","41,830 ","39,379 ","40,989 ","44,607 ","35,487 ","16,731 ","12,790 ",,,,,,,,,
14540,"Bowling Green, KY",33.5,"28,569 ","19,502 ","17,247 ","15,583 ","16,795 ","13,794 ","8,216 ","6,247 ",,,,,,,,,
14740,"Bremerton-Silverdale, WA",39.4,"56,496 ","25,416 ","31,274 ","30,523 ","38,782 ","35,346 ","19,152 ","14,144 ",,,,,,,,,
14860,"Bridgeport-Stamford-Norwalk, CT",39.5,"227,019 ","72,101 ","106,063 ","131,246 ","149,286 ","107,039 ","62,341 ","61,734 ",,,,,,,,,
15180,"Brownsville-Harlingen, TX",30.6,"134,199 ","39,982 ","51,844 ","51,786 ","45,941 ","37,577 ","24,645 ","20,246 ",,,,,,,,,
15260,"Brunswick, GA",39.8,"27,202 ","9,445 ","12,966 ","14,268 ","16,660 ","15,115 ","9,911 ","6,803 ",,,,,,,,,
15380,"Buffalo-Niagara Falls, NY",40.6,"245,434 ","117,212 ","131,790 ","139,255 ","177,489 ","145,577 ","86,918 ","91,834 ",,,,,,,,,
15500,"Burlington, NC",38.7,"35,443 ","15,960 ","17,164 ","20,676 ","21,891 ","17,916 ","11,428 ","10,653 ",,,,,,,,,
15540,"Burlington-South Burlington, VT",37.5,"44,537 ","28,014 ","26,999 ","27,680 ","33,606 ","25,953 ","13,274 ","11,198 ",,,,,,,,,
15940,"Canton-Massillon, OH",41.3,"92,623 ","34,819 ","44,341 ","49,735 ","62,090 ","55,033 ","33,654 ","32,127 ",,,,,,,,,
15980,"Cape Coral-Fort Myers, FL",45.6,"120,869 ","47,476 ","65,878 ","70,476 ","81,757 ","87,192 ","80,910 ","64,196 ",,,,,,,,,
16020,"Cape Girardeau-Jackson, MO-IL",37.6,"21,401 ","12,259 ","11,716 ","11,268 ","13,556 ","11,785 ","7,435 ","6,855 ",,,,,,,,,
16180,"Carson City, NV",41.7,"11,815 ","4,675 ","6,627 ","6,991 ","8,428 ","7,605 ","4,824 ","4,309 ",,,,,,,,,
16220,"Casper, WY",36.8,"18,020 ","7,263 ","10,747 ","9,132 ","11,322 ","9,574 ","4,805 ","4,587 ",,,,,,,,,
16300,"Cedar Rapids, IA",37.5,"63,119 ","23,741 ","34,256 ","33,592 ","37,927 ","30,246 ","18,109 ","16,950 ",,,,,,,,,
16580,"Champaign-Urbana, IL",30.3,"46,433 ","49,837 ","33,486 ","24,998 ","28,249 ","23,476 ","12,952 ","12,460 ",,,,,,,,,
16620,"Charleston, WV",41.8,"65,632 ","22,742 ","36,859 ","39,194 ","46,913 ","44,406 ","26,344 ","22,194 ",,,,,,,,,
16700,"Charleston-North Charleston-Summerville, SC",35.4,"154,646 ","73,459 ","100,417 ","87,386 ","93,733 ","78,602 ","45,128 ","31,236 ",,,,,,,,,
